
[00:00:00.000 --> 00:00:06.720]   for the vast majority of human existence we've been nomadic and we've done these kind of wider
[03:17:38.880 --> 03:17:43.680]   they were big jokers they loved to make jokes and they would laugh at jokes but then they would also
[03:17:43.680 --> 03:17:49.680]   one of them would say something and the other ones would go hoo hoo and i eventually asked you know
[03:17:49.680 --> 03:17:55.680]   what is that why do you guys always make that hoo hoo noise they said that's because he made a really
[03:17:55.680 --> 03:18:02.240]   smart pun it was like he said three different things at once it was a turn of phrase that was smart
[03:18:02.240 --> 03:18:08.320]   and they didn't make laughs at that it was there they had a noise for when somebody said something just
[03:18:08.320 --> 03:18:16.000]   super clever yeah so there's also that like you know just clever turn of speech yeah wit and i think
[03:18:16.000 --> 03:18:21.760]   about that when i'm a uh uh hieroglyphic translator like here's a beautiful thing that's going to be
[03:18:21.760 --> 03:18:28.800]   like a poem or a political statement like and i'm just plottingly looking in a dictionary of what that
[03:18:28.800 --> 03:18:35.040]   word means there's probably double triple entendres all through this text and the real meaning is the
[03:18:35.040 --> 03:18:40.080]   subtext and i'm you know i'm thinking they're talking about corn and they're talking about the nature of
[03:18:40.080 --> 03:18:46.960]   life yeah it could be satire it could be you know as it was in the soviet union when there's a dictator
[03:18:46.960 --> 03:18:53.440]   maybe there's an overpowering king you're not allowed to actually speak uh you have to hide the thing
[03:18:53.440 --> 03:19:02.000]   you're you're actually trying to say uh in the subtext so and all of that there was a funny uh maya
[03:19:02.000 --> 03:19:08.960]   ceramic that had the ceramics are neat because they don't the the the monuments can be kind of broken
[03:19:08.960 --> 03:19:14.880]   records i'm the king i was born this time i beat these people up i married this woman i died but the
[03:19:14.880 --> 03:19:20.560]   ceramics will tell us like things out of mythology stories and there was this one with a rabbit looking
[03:19:20.560 --> 03:19:26.880]   at the merchant god and nobody could translate the text and finally this uh eastern european actually a
[03:19:26.880 --> 03:19:36.960]   ukrainian guy translated it and the rabbit saying to uh to the merchant god bend over and smell my ass
[03:19:36.960 --> 03:19:43.760]   it's like oh man we were expecting this wonderful piece of mythology but no it translates bend over and
[03:19:43.760 --> 03:19:51.600]   smell my ass that's great that's human as we mentioned previously human nature does not change uh you you
[03:19:51.600 --> 03:19:56.880]   mentioned uh plank and mapping it it's just out of curiosity what is that process like it seems
[03:19:56.880 --> 03:20:04.320]   fascinating oh it was uh it was a great adventure i loved it but it was it was difficult i i woke up
[03:20:04.320 --> 03:20:10.960]   every morning thinking i will be hurt today somehow i don't know how i don't know how badly where on my
[03:20:10.960 --> 03:20:16.320]   body it will occur but it's going to happen because it was the jungle so in the jungle what's what's the
[03:20:16.320 --> 03:20:22.880]   process like what what what do you have to do to map it well it was tricky too because it was also a
[03:20:22.880 --> 03:20:28.480]   a national forest so the forestry department didn't want us to cut down anything more than we had to so
[03:20:28.480 --> 03:20:35.280]   we basically just cut tunnels through the foliage and i would uh we'd map everything twice the first thing
[03:20:35.280 --> 03:20:42.560]   we do is i'd go in uh find a building draw it on a piece of graph paper and i'd say like you know you
[03:20:42.560 --> 03:20:48.960]   guys go north you guys go east west find other buildings and when you find them paste back to this
[03:20:48.960 --> 03:20:55.920]   one and so i'd start making a map and i'd make the whole uh one piece of graph paper was enough to then
[03:20:55.920 --> 03:21:01.360]   we'd bring the machine in we'd bring the laser theodolite and get really accurate information but on that
[03:21:01.360 --> 03:21:07.760]   piece of paper i would write like don't bring the machine this way there's a tree fall or stand on top of
[03:21:07.760 --> 03:21:13.200]   this building and you'll see four different buildings at once from this one nice and all of this is in
[03:21:13.200 --> 03:21:20.080]   dense jungle right and the deeper we got off the road the deeper it was sometimes it would clear out
[03:21:20.080 --> 03:21:28.240]   but certain places if it was low it would be such thick vegetation and it would grow back so fast sometimes
[03:21:29.200 --> 03:21:36.160]   we would cut just uh uh tunnels through tall grass and we'd come back like five days later
[03:21:36.160 --> 03:21:41.680]   and they were gone yeah like we did we couldn't even find where our trails were they would grow back
[03:21:41.680 --> 03:21:47.440]   that fast but you see the building so you could see right and that was the fun part i mean sometimes
[03:21:47.440 --> 03:21:51.840]   it would just be like a little neighborhood with little low buildings no bigger than this table but
[03:21:51.840 --> 03:21:58.800]   sometimes you know just five more meters in and i'm standing under a pyramid that nobody had ever mapped
[03:21:58.800 --> 03:22:04.320]   like wow i've just found another one and some days you know on good days we'd find three pyramids and
[03:22:04.320 --> 03:22:12.160]   i i i felt uh that's that's such a more exciting job than the typical excavations although my buddies were
[03:22:12.160 --> 03:22:17.680]   all just you know in a hole for the whole week in the middle of the city and where i'm dancing around
[03:22:17.680 --> 03:22:23.200]   through the jungle i could find you know 10 buildings today i might find a pyramid today who knows what's
[03:22:23.200 --> 03:22:28.880]   that feel like to find like a pyramid or buildings that you're one of the only humans that are not from
[03:22:28.880 --> 03:22:35.680]   that civilization to ever see this thing what's that what's that feel like it's it's great i love that
[03:22:35.680 --> 03:22:42.400]   feeling i i am you know i'm an explorer at heart um so finding something like that you know when i was uh
[03:22:42.400 --> 03:22:49.680]   when i was 25 years old i i found a whole maya city i got to name it its name is mash nah it's off in
[03:22:49.680 --> 03:22:57.680]   the belisian jungle and that was just just outrageous i mean it almost dead that one almost depressed me
[03:22:57.680 --> 03:23:06.720]   i was my my entire like i had this great life ambition that i would find a lost city and then i did
[03:23:06.720 --> 03:23:11.920]   it at 25 and i was like god now what do i do i thought that was supposed to take me my whole life
[03:23:11.920 --> 03:23:17.840]   i actually uh i wrote a bunch of letters to nasa trying to get them to let me be the first uh
[03:23:17.840 --> 03:23:23.680]   archaeologist on mars i never got a single reply back i'm sure i'm on nasa's list as some weirdo
[03:23:26.160 --> 03:23:34.640]   um how'd you find a mayan city i uh i used a topography map of the area and i played the game
[03:23:34.640 --> 03:23:40.640]   if i was a maya where would my favorite place to live in this big area be i i looked for the biggest
[03:23:40.640 --> 03:23:48.640]   mountain because they call all of their pyramids tun wheat stone mountains i knew they loved mountains
[03:23:48.640 --> 03:23:53.520]   and when i found that mountain there were two others right next to it that made a triangle and they love
