
[00:00:00.000 --> 00:00:04.120]   All the people who sold the war in Iraq, they lied us into war after a war.
[03:08:09.800 --> 03:08:15.960]   I mean, obviously he had, he had very powerful people behind his presidential run.
[03:08:15.960 --> 03:08:19.180]   It's not like he was a true, just like grassroots guy, but he wasn't anyone.
[03:08:19.180 --> 03:08:24.940]   We would have been necessarily thinking, but I mean, he gave that big speech at the 2004 DNC, but that was it.
[03:08:24.940 --> 03:08:26.780]   That was the thing he was known for.
[03:08:26.780 --> 03:08:30.880]   He gave one great speech at the third, besides that he was a state Senator and then a junior Senator.
[03:08:30.880 --> 03:08:32.800]   No one was thinking he was going to be the next president.
[03:08:33.020 --> 03:08:34.660]   It could be like a Jon Stewart type character.
[03:08:34.660 --> 03:08:40.220]   Of course, I don't think he would ever, I honestly don't think a comedian will ever run, but I never thought Trump would ever run.
[03:08:40.220 --> 03:08:51.240]   There is, there is something about Jon Stewart that is, he's, and obviously I disagree with him on a lot of stuff too, but he is an authentic person.
[03:08:52.240 --> 03:09:01.780]   Um, and there's something about that, that gives you a huge advantage, particularly in our current political climate, people are so sick of the phoniness.
[03:09:02.200 --> 03:09:11.740]   That's like, uh, it's, it's an, and, and it's, and, and they're right to be, cause you could only, you know, so you can lie to some of the people, some of the time, like this, you can only lie so much before.
[03:09:11.740 --> 03:09:16.020]   Or eventually nobody wants to hear you in that phony voice telling the same phony lies anymore.
[03:09:16.020 --> 03:09:23.440]   And at least Jon Stewart is, I will say, I think he's, I think Jon Stewart is telling the truth the way he sees it.
[03:09:23.440 --> 03:09:26.760]   Like, I don't think he's necessarily right about a lot of things.
[03:09:26.760 --> 03:09:33.400]   He is right about a lot of things, but I think he's wrong about a lot of other things, but he, I just get the impression that he believes what he's saying.
[03:09:33.640 --> 03:09:38.420]   And there's something powerful about that, especially when he's surrounded by people that disagree with him.
[03:09:38.420 --> 03:09:41.580]   He's still willing to say that that takes a certain kind of courage.
[03:09:41.580 --> 03:09:42.420]   Yeah.
[03:09:42.420 --> 03:09:46.380]   And be funny doing it, but he's not going to run.
[03:09:46.380 --> 03:09:47.680]   No, I don't think so.
[03:09:47.680 --> 03:09:48.400]   This is annoying.
[03:09:48.400 --> 03:09:52.980]   No, nobody like you have to be fucking crazy to run.
[03:09:52.980 --> 03:09:55.220]   That is one of the real problems, you know?
[03:09:55.220 --> 03:09:58.960]   And then like people like attack Donald Trump for being like a narcissist.
[03:09:58.960 --> 03:10:02.820]   And it's like, yeah, but who the hell else is going to ever do this?
[03:10:03.620 --> 03:10:04.860]   All right.
[03:10:04.860 --> 03:10:08.180]   What gives you hope about this whole thing we got going on?
[03:10:08.180 --> 03:10:12.420]   Uh, America and human civilization.
[03:10:12.420 --> 03:10:13.240]   Okay.
[03:10:13.240 --> 03:10:23.960]   So this is not mine, but this is, uh, Gene Epstein, who's like, uh, is a really brilliant economist, um, and a great guy.
[03:10:23.960 --> 03:10:26.880]   And he told me this once and I just always loved it.
[03:10:26.880 --> 03:10:33.060]   And he, and so I call it Epstein's, Epstein's case, not that Epstein, different Epstein, Gene Epstein, no relation.
[03:10:33.260 --> 03:10:34.180]   I want to be clear on that.
[03:10:34.180 --> 03:10:34.680]   Okay.
[03:10:34.680 --> 03:10:39.740]   This is Gene's let's call it Gene's case for radical optimism.
[03:10:39.740 --> 03:10:49.780]   And the way he put it was, he goes, uh, he goes, so imagine you were sitting around in, um, 1845.
[03:10:51.220 --> 03:11:03.060]   And like, you're at the height of, you know, the slavery and you were like, Hey, in 20 years, slavery is going to be abolished across the West.
[03:11:03.060 --> 03:11:08.260]   And like, if you told that to someone, they'd be like, dude, slavery has existed for all of human history.
[03:11:08.260 --> 03:11:09.800]   Slavery is look around.
[03:11:09.800 --> 03:11:11.140]   It's not going anywhere.
[03:11:11.140 --> 03:11:16.220]   You'd have to be out of your mind to think we're 20 years away from abolishing slavery.
[03:11:16.220 --> 03:11:22.620]   And yet we were, I mean, it's, it's just like the greatest thing in the history of the world and not.
[03:11:22.760 --> 03:11:27.040]   And unfortunately America had to fight a bloody civil war to get there, but many other countries didn't.
[03:11:27.180 --> 03:11:35.340]   And they just walked away from what had been the status quo forever, you know, and just stop doing it.
[03:11:35.340 --> 03:11:39.460]   And now look, you can argue there's slavery by other names and things like that.
[03:11:39.460 --> 03:11:47.460]   And like, you know, to some degree paying an income taxes, some degree of slavery, but there is not chattel slavery in the way that there used to be.
[03:11:47.460 --> 03:11:52.480]   And that is like an incredible advance for humanity.
[03:11:52.880 --> 03:12:11.380]   And then the other example he would give is he goes, uh, he was talking about how at the beginning of the Reagan administration, like in 1981, that the neocons, because when he was trying to have detente with Russia, the neocons were in the press being like, he just guaranteed another hundred years of Soviet dominance, you know?
[03:12:11.380 --> 03:12:17.460]   And if someone had just been to you, like, Hey, listen, calm down in 10 years, there won't be a Soviet union.
[03:12:17.460 --> 03:12:19.620]   It's just been like, what are you like?
[03:12:19.620 --> 03:12:19.880]   Okay.
[03:12:19.880 --> 03:12:21.380]   Nice idea, but you're out of your fucking mind.
[03:12:21.380 --> 03:12:22.660]   And yet that was true too.
[03:12:22.780 --> 03:12:37.880]   And so there is even when, you know, and you can see some dynamics, even in our politics today, where like, you know, three years ago, I was really concerned about whether they'd shut the whole thing down us.
[03:12:37.880 --> 03:12:45.360]   I mean, you know, like when it was during the COVID times and during times where it was like, everyone I knew was just getting strikes on all their channels.
[03:12:45.360 --> 03:12:54.320]   And if you just even wanted to like talk about how, like, there are people being vaccine injured, you'd like lose your YouTube channel, get people getting kicked off Twitter left and right.
[03:12:54.320 --> 03:12:55.260]   And I just saw it.
[03:12:55.260 --> 03:12:59.620]   And I was like, dude, the, the grasp is just getting tighter and tighter and tighter.
[03:12:59.620 --> 03:13:06.840]   The regime is not going to allow these alternative voices, you know, in here, and they're just getting too big and they're going to shut this whole thing down.
[03:13:06.840 --> 03:13:10.140]   And I'm going to have to figure out what I'm going to do, uh, after that.
[03:13:10.140 --> 03:13:11.860]   And I was totally wrong.
[03:13:11.860 --> 03:13:17.960]   It just, the trend totally went in the other direction and things are now at a point where it's like, I couldn't even imagine it.
[03:13:18.060 --> 03:13:22.780]   I never would have envisioned Elon Musk was going to get $44 billion together and buy Twitter.
[03:13:22.780 --> 03:13:32.400]   And then he was, you know, it's like, and so I just think that if you kind of like zoom out, I think that the, the regime has lost their monopoly on propaganda.
[03:13:32.400 --> 03:13:42.140]   And this opens up enormous possibilities for what, you know, I, I remember so vividly 2002.
[03:13:43.360 --> 03:13:48.060]   And, and 2002, you know, nine 11 happened in late 2001.
[03:13:48.060 --> 03:13:58.820]   We invaded Iraq in 2003, but all of 2002 was a massive propaganda campaign, just constantly laying down the blueprints for this war that we knew was George W.
[03:13:58.820 --> 03:14:00.060]   Bush was about to launch.
[03:14:00.060 --> 03:14:01.900]   And it was, you know, they have weapons of mass destruction.
[03:14:01.900 --> 03:14:03.180]   They were in on nine 11.
[03:14:03.180 --> 03:14:04.360]   They're friends with Al Qaeda.
[03:14:04.360 --> 03:14:07.140]   They're going to hand this weapon that they don't have off to the terrorists.
[03:14:07.140 --> 03:14:13.340]   They're not friends with, and then they're going to nuke Kansas and, and every right winger, by the way, this is also, sorry for rambling a little here.
[03:14:13.340 --> 03:14:22.800]   But this is also one of the reasons why when, when the Jew haters will say things like, they'll be like, oh, look, all of the Jews support Israel or 70% of the Jews vote this way.
[03:14:22.800 --> 03:14:32.920]   Or is the 70% of the Jews support this where it's like, listen, I don't like blaming or even when the, the Palestine haters will say 70% of Gazans support Hamas or whatever.
[03:14:32.920 --> 03:14:35.880]   It's like, okay, look, I remember a time in this country.
[03:14:35.880 --> 03:14:44.780]   I know I'm going back 20 years, but every right winger in this country was completely convinced that we have to go invade Iraq because he has weapons of mass destruction.
[03:14:44.780 --> 03:14:46.680]   And you're some type of leftist homo.
[03:14:46.680 --> 03:14:49.660]   If you don't agree with that, that was the entire culture in this country.
[03:14:49.660 --> 03:14:55.060]   And it was the one thing that the New York times and Bill O'Reilly and CNN and the Washington post all agreed on.
[03:14:55.060 --> 03:14:57.080]   They were all on board selling this war.
[03:14:57.080 --> 03:14:59.420]   You could not do that today.
[03:14:59.420 --> 03:15:06.140]   They could not get away with that today because if they did, how do you control this entire problem?
[03:15:06.140 --> 03:15:09.620]   You tell me, how do you control Joe Rogan and Tucker Carlson?
[03:15:09.620 --> 03:15:11.480]   You know, how do you get these guys to go?
[03:15:11.480 --> 03:15:12.820]   They're not going to go along with it.
[03:15:12.900 --> 03:15:18.000]   And in fact, they're almost definitely going to have people on their show who are just tearing it apart.
[03:15:18.000 --> 03:15:28.940]   And so I just look at that and I go like, yo, I mean, we're at a place now where we have this world of possibilities that would have seemed impossible just so recently.
