
[00:00:00.000 --> 00:00:08.060]   They end up chanting in front of him, Viva la muerte. Long live death. They have their
[02:57:36.240 --> 02:57:44.080]   is, is that they, you know, life is long and, you know, hopefully God willing, both around for a long
[02:57:44.080 --> 02:57:51.440]   time. And therefore you don't blow everything up at the request of some twat online. But I do think
[02:57:51.440 --> 02:57:57.920]   that a superpower of a kind is to identify the people whose opinion you care for and worry about their
[02:57:57.920 --> 02:58:02.960]   opinion and no one else's really. And, and just, you just keep your own guiding light. That's what's
[02:58:02.960 --> 02:58:08.640]   always done for me is that I, I, I've always said, I just don't really, I wouldn't care if I was the
[02:58:08.640 --> 02:58:15.440]   only person with my opinion and billions of people disagreed. I mean, I might be curious if the whole
[02:58:15.440 --> 02:58:20.880]   planet disagreed with me, but it doesn't fundamentally, that's not right. I'll send you
[02:58:20.880 --> 02:58:28.800]   Churchill's great speech on the death of Chamberlain. I mean it. He says the bit, he says one of the most
[02:58:28.800 --> 02:58:35.120]   wise and brilliant things. I was thinking about it slightly earlier when you were talking about Zelensky,
[02:58:35.120 --> 02:58:46.320]   because one of Churchill's greatnesses was his magnanimity. And when his great political opponent,
[02:58:46.320 --> 02:58:54.240]   Chamberlain died in 1940, and Churchill had just taken over as prime minister, he could have used
[02:58:54.240 --> 02:58:58.240]   the opportunity. And we might even say that some politicians in our day wouldn't be able to resist
[02:58:58.240 --> 02:59:02.800]   the opportunity. He could have used the opportunity to say, "You see, I was right."
[02:59:04.240 --> 02:59:07.680]   And Chamberlain didn't know what the hell he was doing, and he's led us into this mess. And you
[02:59:07.680 --> 02:59:12.800]   should have all listened to me. Because that would have been a good time. It would have been
[02:59:12.800 --> 02:59:18.160]   a good time to say that that would have been one for the win, as they say. But Churchill doesn't do that
[02:59:18.160 --> 02:59:27.040]   in his great eulogy for Chamberlain. He talks about how hard it is for mankind to operate in the world,
[02:59:27.040 --> 02:59:33.520]   and how you can do it successfully. He very movingly says, he doesn't even mention the name of Hitler.
[02:59:33.520 --> 02:59:38.720]   He says, "What will never change his flaws?" He says, "Desiring of human peace, to be seeking peace."
[02:59:38.720 --> 02:59:44.160]   And he says, "The curse that he had was he was led astray by a very wicked man."
[02:59:44.160 --> 02:59:56.000]   But then he has this great passage where Churchill says, a beautiful, resonant passage about how he says,
[02:59:56.000 --> 03:00:03.280]   "It's not given to men happily for them, for otherwise life would prove intolerable to foresee or to predict to any
[03:00:03.280 --> 03:00:08.800]   great extent the unfolding course of events." And he says, "For one phase, men seem to have been right,
[03:00:08.800 --> 03:00:14.000]   and in another they're proved wrong." And then there's a different scale of values emerges.
[03:00:14.000 --> 03:00:21.040]   And he says, "What is the worth of all this?" He says, "The only guide to a man is his conscience.
[03:00:21.040 --> 03:00:26.400]   The only shield to his memory is the rectitude and the sincerity of his actions."
[03:00:27.680 --> 03:00:34.080]   And in fact, he says, "It doesn't matter what happens." If you have this, he finishes it,
[03:00:34.080 --> 03:00:43.200]   he says, "However the fates may play, that if you have this shield to guard you," he says,
[03:00:43.200 --> 03:00:52.160]   "You march always in the ranks of honor." All that can guide a man is that.
[03:00:52.160 --> 03:00:59.120]   If you lose sight of it, and some people do, and maybe everyone does at some point, then it's a
[03:00:59.120 --> 03:01:04.160]   challenge. And then you get buffeted by the to's and fro's of the waves of popular opinion.
[03:01:06.240 --> 03:01:13.440]   And that's dangerous. But if you keep sight and hold on to what you believe,
[03:01:13.440 --> 03:01:17.520]   a million, billion foes don't matter.
[03:01:17.520 --> 03:01:22.720]   Yeah, that is the path. We were talking offline about a great biography of Churchill.
[03:01:22.720 --> 03:01:30.160]   Churchill himself made mistakes and admitted the mistakes, and we can even say, was proud of the
[03:01:30.160 --> 03:01:34.800]   mistakes. I mean, learned from them. Learned from them. That's all the best you could do.
[03:01:34.800 --> 03:01:38.480]   The worst you could probably do is being afraid of making mistakes.
[03:01:39.280 --> 03:01:48.560]   That's what TR said about them in the man in the arena speech. TR. Yeah. Ah, the old TR.
[03:01:48.560 --> 03:01:56.880]   Those two have made quite a few mistakes, but in the end, some of the greatest humans ever created.
[03:01:56.880 --> 03:02:03.120]   Norm Macdonald, Churchill, and Teddy Russell.
[03:02:03.120 --> 03:02:06.720]   Did we do Norm? I think we did it before coming on air.
[03:02:06.720 --> 03:02:12.720]   Oh, before coming on air. Yeah. Well, he's always in everywhere in the, in the air around us.
[03:02:12.720 --> 03:02:16.160]   One of the, one of the great comedians.
[03:02:16.160 --> 03:02:21.520]   Um, all right. What gives you hope about this whole thing we have going on?
[03:02:21.520 --> 03:02:30.400]   Human civilization. You've been covering some of the darker aspects, the madness of crowds,
[03:02:30.400 --> 03:02:36.480]   the madness of geopolitics, the madness of wars. Sometimes when the sun shines through the clouds,
[03:02:37.440 --> 03:02:42.960]   and there's a smile on Douglas Murray's face, what's the source of the smile? The, the warmth.
[03:02:42.960 --> 03:02:45.600]   Endless numbers of things.
[03:02:45.600 --> 03:02:53.760]   Endless numbers of things. I mean, I get, I get enormous encouragement from smart young people,
[03:02:53.760 --> 03:02:56.960]   actually. That's one of the way. That's just the best thing ever.
[03:02:56.960 --> 03:03:07.440]   Um, I was in Kiev the other week and I was asked to speak to some students at the university and
[03:03:07.440 --> 03:03:15.440]   irrespective of the rather, you know, tricky situation that they are in. It's just great to,
[03:03:15.440 --> 03:03:23.600]   as you know, to speak to a room full of students about things and then hang around afterwards and
[03:03:23.600 --> 03:03:30.080]   just answer all the questions you can and hear from them about their lives and what they want to do and
[03:03:30.080 --> 03:03:37.040]   and remembering what you were like at their age and how goofy you were and how much you were going to
[03:03:37.040 --> 03:03:42.320]   get wrong and how much, you know, you had to learn and how much you were going to enjoy it and, and
[03:03:42.960 --> 03:03:50.080]   seeing the, uh, the opportunities they have in front of them if, if things go right and, and, uh,
[03:03:50.080 --> 03:03:54.240]   just smart young people giving enormous encouragement all the time. It's it's, that's the best thing.
[03:03:54.240 --> 03:04:00.960]   I mean, it's just, yeah, they're, uh, you can see endless possibility in their eyes and there's, uh,
[03:04:00.960 --> 03:04:07.360]   they're not like burdened by, um, let's say, uh, the cynicism that builds up.
[03:04:07.360 --> 03:04:12.480]   But even the cynicism though, I mean, you can resist that. I mean, I've got quite a deep,
[03:04:13.280 --> 03:04:18.080]   well spring of it, but I mean, you can't only fall into that because
[03:04:18.080 --> 03:04:23.200]   there's so much else it doesn't cover. It'd be like spending your life being ironic, you know?
[03:04:23.200 --> 03:04:34.800]   Uh, so that said, you have seen a lot of war, especially recently and directly
[03:04:36.480 --> 03:04:42.320]   Ukraine, Israel, has that changed you?
[03:04:42.320 --> 03:04:47.840]   Has that dimmed some of that warmth and light?
[03:04:48.880 --> 03:04:57.360]   Uh, that's a very difficult question to answer. I don't know. Differs day to day.
[03:04:57.360 --> 03:05:01.680]   So sometimes there's a heaviness there because of the things you've seen.
[03:05:01.680 --> 03:05:04.480]   True. Yeah, I, I, at times, at times.
[03:05:04.480 --> 03:05:09.440]   You regret some going as much as you have to the front lines?
[03:05:10.800 --> 03:05:20.080]   No, no. One of the reasons why war is for writer kind of the ultimate subject
[03:05:21.520 --> 03:05:33.920]   is because you see life, weirdly, at its ultimate. Very, very strange, strange thing. But,
[03:05:33.920 --> 03:05:42.400]   you know, it just, it is the truth. Death, when it's in front of you, is something which
[03:05:44.080 --> 03:05:55.680]   gives, uh, uh, terrible clarity to everything. And, uh, it, you see how people will love and even
[03:05:55.680 --> 03:06:01.360]   sometimes laugh more, how they'll, um,
[03:06:01.360 --> 03:06:08.960]   there's an essay by Montaigne that's always on my mind, why we weep and laugh at the same time.
[03:06:11.040 --> 03:06:19.760]   Uh, everything's just more. And, um, and people, the real thing is the people, you see the, the,
[03:06:19.760 --> 03:06:25.440]   the very, very best of people and the very worst and they're beside each other.
[03:06:25.440 --> 03:06:31.520]   There's some, uh, so I've gotten a bunch of chances to interact with soldiers on the front line
[03:06:31.520 --> 03:06:37.520]   in Ukraine. And there is some level of like all the bullshit niceties or whatever it is of,
[03:06:38.240 --> 03:06:42.720]   of, uh, civilian life is all stripped away. It just seems more honest somehow.
[03:06:42.720 --> 03:06:49.680]   Yes, absolutely. Uh, absolutely. Well, I mean, I couldn't agree more. And then there's the wild
[03:06:49.680 --> 03:06:55.760]   clarity about things, not because of enemies or anything like that, but because of the, of,
[03:06:55.760 --> 03:07:01.840]   I joked, I think I mentioned, I joked about this with some Ukrainian soldiers in 22, because
[03:07:02.800 --> 03:07:08.800]   they wanted a cigarette and, uh, and, and, and we, and we stepped outside, I accompanied them outside
[03:07:08.800 --> 03:07:16.400]   because they weren't allowed to smoke indoors in this hotel, which there were rockets falling.
[03:07:17.280 --> 03:07:24.240]   Yeah. Yeah. Yeah. And I said to him, isn't it strange that fear of secondhand smoke
[03:07:24.240 --> 03:07:32.720]   has superseded this, but I, I don't know.
