
[00:00:00.000 --> 00:00:02.000]   I'm now recording.
[01:33:29.000 --> 01:33:31.000]   Driving is absolutely a change in the
[01:33:31.000 --> 01:33:33.000]   physical world. You have to move physically through
[01:33:33.000 --> 01:33:35.000]   space. So that one is a very
[01:33:35.000 --> 01:33:37.000]   distinct class. All the stuff that's like
[01:33:37.000 --> 01:33:39.000]   communication,
[01:33:39.000 --> 01:33:41.000]   imagery, static imagery, audio,
[01:33:41.000 --> 01:33:43.000]   and then visual, video,
[01:33:43.000 --> 01:33:45.000]   there's some stacking that
[01:33:45.000 --> 01:33:47.000]   happens there. And some of those will be kind
[01:33:47.000 --> 01:33:49.000]   of siloed and then some of them will merge
[01:33:49.000 --> 01:33:51.000]   and you'll have these kind of unique kind of combo models.
[01:33:51.000 --> 01:33:53.000]   And so look, as
[01:33:53.000 --> 01:33:55.000]   they start to work together, I think we'll see them
[01:33:55.000 --> 01:33:57.000]   completely rewrite
[01:33:57.000 --> 01:33:59.000]   some of these verticals like movie
[01:33:59.000 --> 01:34:01.000]   production or music production,
[01:34:01.000 --> 01:34:03.000]   right, or advertising,
[01:34:03.000 --> 01:34:05.000]   or we're seeing it now with
[01:34:05.000 --> 01:34:07.000]   with video and creative
[01:34:07.000 --> 01:34:09.000]   arts with
[01:34:09.000 --> 01:34:11.000]   some of the visual stuff on
[01:34:11.000 --> 01:34:13.000]   OpenAI. And to be honest, a lot of journalism, a lot
[01:34:13.000 --> 01:34:15.000]   of creative arts have become the wisdom of the
[01:34:15.000 --> 01:34:17.000]   crowds over the last two decades where
[01:34:17.000 --> 01:34:19.000]   artists were looking
[01:34:19.000 --> 01:34:21.000]   at the collective works of
[01:34:21.000 --> 01:34:23.000]   the internet, interpreting it,
[01:34:23.000 --> 01:34:25.000]   and then coming up with content, which is
[01:34:25.000 --> 01:34:27.000]   kind of what these AIs are doing. And
[01:34:27.000 --> 01:34:29.000]   then who legally owns
[01:34:29.000 --> 01:34:31.000]   the collective content is
[01:34:31.000 --> 01:34:33.000]   going to be a big question, Chamath. You talked about
[01:34:33.000 --> 01:34:35.000]   datasets, and Microsoft is being
[01:34:35.000 --> 01:34:37.000]   sued right now, and GitHub, because
[01:34:37.000 --> 01:34:39.000]   they used open source
[01:34:39.000 --> 01:34:41.000]   to create tools in AI
[01:34:41.000 --> 01:34:43.000]   to help augment
[01:34:43.000 --> 01:34:45.000]   programmers, like while they're programming, writing code,
[01:34:45.000 --> 01:34:47.000]   it gives them suggestions, and now the open source
[01:34:47.000 --> 01:34:49.000]   community is suing them for using their
[01:34:49.000 --> 01:34:51.000]   datasets. So what do you think about the legality
[01:34:51.000 --> 01:34:53.000]   of datasets, Chamath, and should
[01:34:53.000 --> 01:34:55.000]   they get some kind of protection
[01:34:55.000 --> 01:34:57.000]   if you make a GPT-3
[01:34:57.000 --> 01:34:59.000]   based on Quora or based on Wikipedia?
[01:34:59.000 --> 01:35:01.000]   Should you have to get approval
[01:35:01.000 --> 01:35:03.000]   to use that data?
[01:35:03.000 --> 01:35:05.000]   I think it's the exact opposite.
[01:35:05.000 --> 01:35:07.000]   It's the exact opposite. They say that
[01:35:07.000 --> 01:35:09.000]   this is actually your work.
[01:35:09.000 --> 01:35:11.000]   And I think that that's the right legal
[01:35:11.000 --> 01:35:13.000]   framework. But the answer to your other question
[01:35:13.000 --> 01:35:15.000]   is, this is why I think the hunt
[01:35:15.000 --> 01:35:17.000]   for proprietary data
[01:35:17.000 --> 01:35:19.000]   actually becomes the hunt that matters.
[01:35:19.000 --> 01:35:21.000]   All of this other stuff, I think,
[01:35:21.000 --> 01:35:23.000]   is a lot less important because I think you have
[01:35:23.000 --> 01:35:25.000]   to assume that all of these models will
[01:35:25.000 --> 01:35:27.000]   eventually just get commoditized.
[01:35:27.000 --> 01:35:29.000]   So there'll be a, you know, like you see
[01:35:29.000 --> 01:35:31.000]   like Jasper AI, and you see a bunch of these
[01:35:31.000 --> 01:35:33.000]   generative AI companies. It's really interesting.
[01:35:33.000 --> 01:35:35.000]   But the problem is, when you sit it
[01:35:35.000 --> 01:35:37.000]   on top of the same substrate, you'll have a
[01:35:37.000 --> 01:35:39.000]   convergence. Right?
[01:35:39.000 --> 01:35:41.000]   Everybody's chat model will eventually look and sound
[01:35:41.000 --> 01:35:43.000]   and feel like the same thing, unless
[01:35:43.000 --> 01:35:45.000]   you're giving it a few
[01:35:45.000 --> 01:35:47.000]   special ingredients that other
[01:35:47.000 --> 01:35:49.000]   people are not. And so it's the
[01:35:49.000 --> 01:35:51.000]   hunt for those ingredients that will make
[01:35:51.000 --> 01:35:53.000]   this next generation of
[01:35:53.000 --> 01:35:55.000]   models really valuable.
[01:35:55.000 --> 01:35:57.000]   So to give an example, you'd have Wikipedia,
[01:35:57.000 --> 01:35:59.000]   which is creative comments anybody can
[01:35:59.000 --> 01:36:01.000]   use, but Quora as a data set, not
[01:36:01.000 --> 01:36:03.000]   everybody can use that's owned by a company.
[01:36:03.000 --> 01:36:05.000]   So Quora would have an advantage. Take an
[01:36:05.000 --> 01:36:07.000]   extreme example. If Quora
[01:36:07.000 --> 01:36:09.000]   didn't allow themselves
[01:36:09.000 --> 01:36:11.000]   to be crawled,
[01:36:11.000 --> 01:36:13.000]   okay, which they don't.
[01:36:13.000 --> 01:36:15.000]   But then they
[01:36:15.000 --> 01:36:17.000]   developed their own language model, which used
[01:36:17.000 --> 01:36:19.000]   the best of the internet, so
[01:36:19.000 --> 01:36:21.000]   call it, you know, GPT
[01:36:21.000 --> 01:36:23.000]   and Quora,
[01:36:23.000 --> 01:36:25.000]   maybe they are slightly
[01:36:25.000 --> 01:36:27.000]   better in certain domains than others.
[01:36:27.000 --> 01:36:29.000]   The other extreme example is the one that I
[01:36:29.000 --> 01:36:31.000]   used in healthcare, which is, you know,
[01:36:31.000 --> 01:36:33.000]   if you have access to patient data
[01:36:33.000 --> 01:36:35.000]   that you will not license to anybody
[01:36:35.000 --> 01:36:37.000]   else, you know, it stands to
[01:36:37.000 --> 01:36:39.000]   reason that that model
[01:36:39.000 --> 01:36:41.000]   actually then has much
[01:36:41.000 --> 01:36:43.000]   better chances of highly
[01:36:43.000 --> 01:36:45.000]   effective clinical outcomes versus any
[01:36:45.000 --> 01:36:47.000]   other model. Apple Watch comes to mind,
[01:36:47.000 --> 01:36:49.000]   right? Apple has all that watch
[01:36:49.000 --> 01:36:51.000]   data. If they could pair that with epics,
[01:36:51.000 --> 01:36:53.000]   another data set.
[01:36:53.000 --> 01:36:55.000]   What could they do together?
[01:36:55.000 --> 01:36:57.000]   So this is going to be like, this is the new oil
[01:36:57.000 --> 01:36:59.000]   is going to be data. And by the way,
[01:36:59.000 --> 01:37:01.000]   to talk about Apple
[01:37:01.000 --> 01:37:03.000]   for a second, the smart thing is they've gotten
[01:37:03.000 --> 01:37:05.000]   so methodically, they've never
[01:37:05.000 --> 01:37:07.000]   touted the AI. You know, they introduce
[01:37:07.000 --> 01:37:09.000]   one or two distinguishing
[01:37:09.000 --> 01:37:11.000]   features every year, right?
[01:37:11.000 --> 01:37:13.000]   So like the ECG,
[01:37:13.000 --> 01:37:15.000]   which was introduced many, many years ago,
[01:37:15.000 --> 01:37:17.000]   has only gotten
[01:37:17.000 --> 01:37:19.000]   slightly more usable like five or six years
[01:37:19.000 --> 01:37:21.000]   later, but in the meantime, there's, you
[01:37:21.000 --> 01:37:23.000]   know, 10s of millions of watches
[01:37:23.000 --> 01:37:25.000]   collecting this kind of data. So to your
[01:37:25.000 --> 01:37:27.000]   point, it's it's using
[01:37:27.000 --> 01:37:29.000]   these devices as Trojan horses to
[01:37:29.000 --> 01:37:31.000]   collect training data. That is the
[01:37:31.000 --> 01:37:33.000]   oil. Uber and
[01:37:33.000 --> 01:37:35.000]   Tesla have all this data
[01:37:35.000 --> 01:37:37.000]   of the data being collected by,
[01:37:37.000 --> 01:37:39.000]   you know, the
[01:37:39.000 --> 01:37:41.000]   phones or the cameras in the
[01:37:41.000 --> 01:37:43.000]   cars. The other difference though, is that
[01:37:43.000 --> 01:37:45.000]   you have to be in a realm
[01:37:45.000 --> 01:37:47.000]   where you don't need regulators
[01:37:47.000 --> 01:37:49.000]   to go the last mile. So the
[01:37:49.000 --> 01:37:51.000]   problem with ADAS, I think, or
[01:37:51.000 --> 01:37:53.000]   Level 5 autonomy, is that
[01:37:53.000 --> 01:37:55.000]   eventually you get to a point where even if
[01:37:55.000 --> 01:37:57.000]   the model becomes quote unquote
[01:37:57.000 --> 01:37:59.000]   "perfect,"
[01:37:59.000 --> 01:38:01.000]   you still need regulatory approval. And
[01:38:01.000 --> 01:38:03.000]   what I'm saying is I think you have to focus on
[01:38:03.000 --> 01:38:05.000]   areas of the economy
[01:38:05.000 --> 01:38:07.000]   that are not subject to that or
[01:38:07.000 --> 01:38:09.000]   where the regulatory pathway is already defined.
[01:38:09.000 --> 01:38:11.000]   So for example, if you use that healthcare
[01:38:11.000 --> 01:38:13.000]   example, let's say that you had the largest corpus of
[01:38:13.000 --> 01:38:15.000]   breast cancer image data and you could actually build an
[01:38:15.000 --> 01:38:17.000]   AI that was a much better classifier
[01:38:17.000 --> 01:38:19.000]   of tumors versus other things,
[01:38:19.000 --> 01:38:21.000]   the FDA
[01:38:21.000 --> 01:38:23.000]   actually has a pathway to get that approved
[01:38:23.000 --> 01:38:25.000]   very quickly. The problem with, you know,
[01:38:25.000 --> 01:38:27.000]   Level 5 autonomy is that there is no clear
[01:38:27.000 --> 01:38:29.000]   pathway. It's not, again, we go back to almost
[01:38:29.000 --> 01:38:31.000]   a crypto example.
[01:38:31.000 --> 01:38:33.000]   We don't really know who will govern that decision
[01:38:33.000 --> 01:38:35.000]   and we don't know how that will be governed.
[01:38:35.000 --> 01:38:37.000]   So I think the
[01:38:37.000 --> 01:38:39.000]   thing that investors have to do
[01:38:39.000 --> 01:38:41.000]   and entrepreneurs, entrepreneurs have to pick their end
[01:38:41.000 --> 01:38:43.000]   market very carefully, and investors
[01:38:43.000 --> 01:38:45.000]   have to realize that this dynamic exists
[01:38:45.000 --> 01:38:47.000]   as well. If you're going to do this right, make money.
[01:38:47.000 --> 01:38:49.000]   Imagine the Robin Hood trading, you know,
[01:38:49.000 --> 01:38:51.000]   trader data set, watching
[01:38:51.000 --> 01:38:53.000]   people sell in shares and then predicting
[01:38:53.000 --> 01:38:55.000]   markets with it, with AI, I mean, it could be crazy.
[01:38:55.000 --> 01:38:57.000]   Well, you have that payment for order flow that's used
[01:38:57.000 --> 01:38:59.000]   by Citadel and the other big... But not AI.
[01:38:59.000 --> 01:39:01.000]   Right. Or who knows? Maybe they are using
[01:39:01.000 --> 01:39:03.000]   AI on their side. I don't know if they are. I can
[01:39:03.000 --> 01:39:05.000]   tell you as somebody who sells,
[01:39:05.000 --> 01:39:07.000]   we sell a lot
[01:39:07.000 --> 01:39:09.000]   of machine learning hardware into this market.
[01:39:09.000 --> 01:39:11.000]   The biggest buyers are
[01:39:11.000 --> 01:39:13.000]   the US government and
[01:39:13.000 --> 01:39:15.000]   these ultra high frequency trading organizations.
[01:39:15.000 --> 01:39:17.000]   Freeberg, any final thoughts here? I'll give you the final word.
[01:39:17.000 --> 01:39:19.000]   How could this affect
[01:39:19.000 --> 01:39:21.000]   astronomy? How could this affect
[01:39:21.000 --> 01:39:23.000]   our search of the galaxies,
[01:39:23.000 --> 01:39:25.000]   you know, going out past Pluto,
[01:39:25.000 --> 01:39:27.000]   Saturn, breaching Uranus,
[01:39:27.000 --> 01:39:29.000]   any of those things, how could it impact?
[01:39:29.000 --> 01:39:33.000]   Any...
[01:39:33.000 --> 01:39:35.000]   I'm trying to get a Uranus joke
[01:39:35.000 --> 01:39:37.000]   to land. Help me out there, Tramont.
[01:39:37.000 --> 01:39:39.000]   You got me. It's not that... I think
[01:39:39.000 --> 01:39:41.000]   you need to have more
[01:39:41.000 --> 01:39:43.000]   space related...
[01:39:43.000 --> 01:39:45.000]   Yeah, workshop this one with me.
[01:39:45.000 --> 01:39:47.000]   Or gut biome related,
[01:39:47.000 --> 01:39:49.000]   you know... Gut biome, yeah. So how would this affect
[01:39:49.000 --> 01:39:51.000]   super gut? Use the promo code TWIST.
[01:39:51.000 --> 01:39:53.000]   You have to trick Freeberg into thinking
[01:39:53.000 --> 01:39:55.000]   we're asking a serious question. Get him down
[01:39:55.000 --> 01:39:57.000]   the science path and then rug pull him.
[01:39:57.000 --> 01:39:59.000]   Now that's the right use of rug pull. That's a good proper rug pull.
[01:39:59.000 --> 01:40:01.000]   Exactly. Okay, let's do it. Here we go. Let's workshop. That's the rug pull.
[01:40:01.000 --> 01:40:03.000]   So tell us, you know, when you're doing like
[01:40:03.000 --> 01:40:05.000]   super gut, use promo code TWIST to get 25% off.
[01:40:05.000 --> 01:40:07.000]   When you're doing super gut,
[01:40:07.000 --> 01:40:09.000]   you're analyzing people's guts.
[01:40:09.000 --> 01:40:11.000]   How would you then
[01:40:11.000 --> 01:40:13.000]   have machine learning in this, you know,
[01:40:13.000 --> 01:40:15.000]   API, this chat API
[01:40:15.000 --> 01:40:17.000]   in GPT-3? How could that help
[01:40:17.000 --> 01:40:19.000]   with processing all of that,
[01:40:19.000 --> 01:40:21.000]   especially when it passes through Uranus?
[01:40:21.000 --> 01:40:25.000]   Freeberg. You okay up there, Freeberg?
[01:40:25.000 --> 01:40:27.000]   You are
[01:40:27.000 --> 01:40:29.000]   hung over. I'm hung over, but I
[01:40:29.000 --> 01:40:31.000]   also had like a 7am board
[01:40:31.000 --> 01:40:33.000]   meeting. So I'm also just a little
[01:40:33.000 --> 01:40:35.000]   beat up. Were you grumpy on the board meeting?
[01:40:35.000 --> 01:40:37.000]   Did you get a little cantankerous with your... No, no, it was fine.
[01:40:37.000 --> 01:40:39.000]   You were fine? You kept the rage in control?
[01:40:39.000 --> 01:40:41.000]   I think I had my caffeine
[01:40:41.000 --> 01:40:43.000]   fuel and then I kind of
[01:40:43.000 --> 01:40:45.000]   cranked down afterwards.
[01:40:45.000 --> 01:40:47.000]   Alright, everybody. We will see you next time
[01:40:47.000 --> 01:40:49.000]   for the Secretary of
[01:40:49.000 --> 01:40:51.000]   SAS, the Dictator,
[01:40:51.000 --> 01:40:53.000]   and the Sultan of Hungover.
[01:40:53.000 --> 01:40:55.000]   We will see you
[01:40:55.000 --> 01:40:57.000]   next time. Bye-bye.
[01:40:57.000 --> 01:40:59.000]   Love you guys. Bye-bye.
[01:40:59.000 --> 01:41:01.000]   [outro music]
[01:41:01.000 --> 01:41:03.000]   [outro music]
[01:41:03.000 --> 01:41:05.000]   [outro music]
[01:41:05.000 --> 01:41:07.340]   ♪ I'm going all in ♪
[01:41:07.340 --> 01:41:08.140]   And they said,
[01:41:08.140 --> 01:41:09.780]   "We open source it to the fans,
[01:41:09.780 --> 01:41:11.240]   and they've just gone crazy with it."
[01:41:11.240 --> 01:41:12.380]   Love you West, baby!
