
[00:00:00.000 --> 00:00:05.540]   The following is a conversation with Jeffrey Wasserstrom, a historian of modern China.
[02:54:03.500 --> 02:54:08.620]   he was focusing on America, which is something that can have it have particular resonances now.
[02:54:08.620 --> 02:54:15.980]   Um, Mao could alternate that certain points he thought there should be an alliance with,
[02:54:15.980 --> 02:54:22.940]   where he said that China should be able to work with Japan because, um, I mean, he said it at one
[02:54:22.940 --> 02:54:26.620]   point, he said, well, without Japanese imperialism, the Communist Party wouldn't have risen.
[02:54:27.260 --> 02:54:33.500]   because we wouldn't have had this ability to unite the people. Um, we have seen in
[02:54:33.500 --> 02:54:40.620]   the post-Mao period some leaders playing on sort of anti-Japanese sentiment because of the history
[02:54:40.620 --> 02:54:49.340]   of Japanese aggression. Or there can be anti-American sentiment because of the history of American
[02:54:49.340 --> 02:54:55.340]   roles in imperialism. Or it can be played in a different way. The United States certainly tried that the
[02:54:55.340 --> 02:55:03.740]   United States didn't have formal colonies in, um, in Asia the way that Britain and France did and tried to
[02:55:03.740 --> 02:55:09.260]   present itself differently. So these things are, but these things are also kind of in, in flux. And
[02:55:09.260 --> 02:55:16.060]   now we're in this very unusual, uh, in flux period. At the beginning of the, um, the imposition of tariffs,
[02:55:16.060 --> 02:55:24.860]   there were leaders of China, Japan, and Korea all to South Korea all together in photo ops, which was
[02:55:24.860 --> 02:55:31.740]   not something that, I mean, being on the same side. So I think this is also just a kind of broader lesson
[02:55:31.740 --> 02:55:35.740]   important to not, not, not assume that configurations will always stay.
[02:55:35.740 --> 02:55:39.340]   If you look out into the 21st century,
[02:55:40.540 --> 02:55:47.660]   what are some of the best possible things that could happen in the region and globally with China at
[02:55:47.660 --> 02:55:53.100]   the center of the world stage? What are the possible trajectories you could see culturally,
[02:55:53.100 --> 02:55:59.420]   economically, politically, in terms of partnerships and all this kind of stuff?
[02:55:59.420 --> 02:56:07.660]   It's such a, it's such a, such a, such a hard moment to be imagining these things. I mean, I've all,
[02:56:07.660 --> 02:56:18.620]   I've long wanted to see a return of China to this path toward a more kind of, um, yeah, it wasn't one of the
[02:56:18.620 --> 02:56:26.620]   people who imagined that there would be this convergence of sort of, or China's emergence into
[02:56:26.620 --> 02:56:34.060]   evolution into a liberal capitalist kind of country. But I'd love to see a return to that
[02:56:34.060 --> 02:56:41.420]   more kind of tolerance of diversity within China, variations within China, more space for civil society.
[02:56:41.420 --> 02:56:47.500]   And it's, it's a hard time to even imagine that because Hong Kong kind of represented
[02:56:47.500 --> 02:56:54.620]   that place that was somehow within, it was, it was an amazing thing. I think looking backward,
[02:56:54.620 --> 02:56:59.260]   sorry, rather than forward, I think it's really extraordinary how much
[02:56:59.260 --> 02:57:07.020]   leeway was given to Hong Kong for a period there. That was really special. No communist party-run country
[02:57:07.020 --> 02:57:13.340]   had ever had a city within it that had as free a press as Hong Kong had then, as much tolerance for,
[02:57:14.460 --> 02:57:23.180]   for protests. And, and I think it was, it was a, I mean, I hope it can be seen by some, at least within
[02:57:23.180 --> 02:57:30.300]   Beijing as a miscalculation too. The People's Republic of China wanted soft power and Hong Kong films were
[02:57:30.300 --> 02:57:36.700]   admired around the world, this industry, it was, there was a way in which created creativity flourishing. So I
[02:57:36.700 --> 02:57:46.940]   I guess it would be just the hope for more, more spaces where that kind of creativity and openness debate
[02:57:46.940 --> 02:57:52.140]   where things can, can flourish. I'd, I'd love to think that there, there actually are a variety of
[02:57:52.140 --> 02:58:01.260]   things in Taiwan that if those could become broader norms, not, not that Taiwan's perfect, it has its own
[02:58:01.980 --> 02:58:07.980]   internal problems. But there, there are many really attractive things about it right now, things,
[02:58:07.980 --> 02:58:15.980]   different kinds of things that flourish. Um, so maybe, uh, maybe, uh, setting in which Taiwan and
[02:58:16.940 --> 02:58:27.660]   in its post-Martial Law, post-Leninist incarnation, um, would be something that we could think of more.
[02:58:28.780 --> 02:58:34.860]   Yeah. And you're right. Taiwan and especially Hong Kong are these, it's a truly special place.
[02:58:34.860 --> 02:58:40.620]   It's just like a case study. It doesn't make sense that that would happen, but it happened. I mean,
[02:58:40.620 --> 02:58:46.620]   history is full of wonderful things like this. And I guess, can you clarify, you think the protests of
[02:58:46.620 --> 02:58:55.660]   2019, like the protests in 20, they're mostly a failure. Is there still a possibility that Hong Kong,
[02:58:55.660 --> 02:59:04.220]   like rises and its way of life, its way of being the democratic, democratic ideals,
[02:59:04.220 --> 02:59:10.700]   not necessarily full on democracy or this kind of thing, but would actually, uh, in a sense,
[02:59:10.700 --> 02:59:15.660]   um, permeate China, not the other way around.
[02:59:15.660 --> 02:59:21.260]   So that was, that was a hope early on. And there were ways in which some parts of Hong Kong style
[02:59:21.260 --> 02:59:28.700]   even sort of permeated across the border. I think it's hard to see it now with how Hong Kong has changed,
[02:59:28.700 --> 02:59:35.740]   but I hesitate to, I mean, an awareness of the unpredictability of things is who there's no way
[02:59:35.740 --> 02:59:41.580]   to know what kind of thing there would be for Hong Kong later. I do think there are things about Hong Kong
[02:59:41.580 --> 02:59:50.460]   that even in the failure of the movement have been, have had repercussions that are not, uh,
[02:59:50.460 --> 02:59:57.100]   not all negative. I think the Hong Kong spirit, which is being kept alive in diaspora communities
[02:59:57.100 --> 03:00:04.780]   around the world is really interesting. There, there are things that are, um, spreading. I think Hong Kong
[03:00:04.780 --> 03:00:12.060]   represented a vision of a different way of being Chinese, a different notion of Chineseness. And I
[03:00:12.060 --> 03:00:18.700]   think that is something that exists. Um, and there have been protesters in a lot of other parts of
[03:00:18.700 --> 03:00:26.300]   the world, Belarus to, I used to say from minute Minneapolis to Minsk, because in 2020, there were protests
[03:00:26.300 --> 03:00:32.620]   in the U S and in Belarus, where there were activists who were talking about the Hong Kong idea of sort of
[03:00:33.900 --> 03:00:41.580]   trying to focus on, um, be water, more flexible protest tactics, something. And clearly in Thailand,
[03:00:41.580 --> 03:00:48.940]   there were people who looked at things to learn from Hong Kong, even in defeat. There's a New Zealand
[03:00:48.940 --> 03:00:54.860]   based China specialist, Jeremy Barmay, who talks about the other China, which can exist within China,
[03:00:54.860 --> 03:01:03.420]   physical China or elsewhere, which is this, um, equally attached to Chinese traditions, but thinking of those
[03:01:03.420 --> 03:01:11.260]   traditions as including not just Confucianism, but Taoism, not just hierarchy, but also openness to
[03:01:11.260 --> 03:01:17.020]   cosmopolitanism, not just nationalism, but cosmopolitanism. And I think there are some, um,
[03:01:17.020 --> 03:01:24.140]   there are some elements of that, that even in failure, the Hong Kong movements, the Hong Kong protests
[03:01:24.140 --> 03:01:33.100]   of the 2020s were a last flourishing of that. And we can see some elements of that in, um, in, we can think of Taiwan,
[03:01:33.100 --> 03:01:41.740]   elements of that as another China as well. Um, and I think recovering, not allowing the particular
[03:01:41.740 --> 03:01:49.100]   version of Chineseness that the Chinese Communist Party under Xi Jinping wants to make people think of
[03:01:49.100 --> 03:01:55.980]   as the essence of Chinese. Chinese, their China has multiple cultural strands, multiple traditions
[03:01:56.780 --> 03:02:04.620]   that people can, um, that people can, um, tap into. And it's something richer and, um, more admirable,
[03:02:04.620 --> 03:02:06.380]   I think, than this narrowed down version.
[03:02:06.380 --> 03:02:15.340]   And I hope for a future where both Hong Kong and, uh, Beijing have bookstores that carry 1984,
[03:02:15.340 --> 03:02:24.460]   Brave New World, and all of your books. And, uh, I can't wait to visit them and enjoy the intellectual
[03:02:24.460 --> 03:02:31.020]   flourishing of incredible people. What a beautiful world to live in. The Chinese people, all the people I've
[03:02:31.020 --> 03:02:39.660]   met, it's just so great to interact with a totally different culture. You can feel the roots
[03:02:39.660 --> 03:02:46.860]   run deep through ancient history that are very different. And it's amazing. It's like amazing that
[03:02:46.860 --> 03:02:55.500]   earth produced Chinese people, Indian people, the Slavic people. There's just all kinds of variants
[03:02:55.500 --> 03:03:02.540]   and we're all have our own weirdnesses and quirks and so on. Everybody has brilliant people. We all start
[03:03:02.540 --> 03:03:07.180]   shit with each other every once in a while. But I hope now that we have nuclear weapons and I hope
