
[00:00:00.000 --> 00:00:06.100]   The following is a conversation with Terence Tao, widely considered to be one of the greatest
[02:53:32.260 --> 02:53:38.260]   math education to at least, uh, define. Um, yeah. But then there's this very advanced algebraic
[02:53:38.260 --> 02:53:41.940]   side of number theory where people have been building structures upon structures for quite a while.
[02:53:41.940 --> 02:53:46.660]   Um, and it's, it's, it's a very sturdy structure. It's, it's, it's, it's been, it's been very, um,
[02:53:46.660 --> 02:53:50.580]   at the base, at least it's extremely well-developed in the textbooks and so forth.
[02:53:50.580 --> 02:53:56.660]   But, um, um, it does get to the point where, um, if you're, if you haven't taken these years of study
[02:53:56.660 --> 02:54:00.980]   and you want to ask about what, what is going on at, um, like level six of the, of this tower,
[02:54:00.980 --> 02:54:05.060]   I, you have to spend quite a bit of time before they can even get to the point where you can see,
[02:54:05.060 --> 02:54:10.500]   you see something you recognize. What, uh, inspires you about his journey that was similar as we talked
[02:54:10.500 --> 02:54:18.740]   about seven years, mostly working in secret. Yeah. Uh, yes, that is a romantic, uh, yeah. So it kind
[02:54:18.740 --> 02:54:23.540]   of fits with the sort of the, the romantic image that I think people have of mathematicians to the
[02:54:23.540 --> 02:54:28.180]   extent that they think or think about it at all as these kinds of eccentric, uh, you know, wizards
[02:54:28.180 --> 02:54:35.700]   or something. Um, so that certainly kind of, uh, uh, uh, accentuated that perspective. You know, I mean,
[02:54:35.700 --> 02:54:42.900]   it's, it is a great achievement. His style of solving problems is so different from my own. Um, but, which is
[02:54:42.900 --> 02:54:47.940]   great. I mean, we, we need people like that. Can you speak to it? Like what, uh, in, in terms of like, uh, you
[02:54:47.940 --> 02:54:53.060]   like the collaborative. I like moving on from a problem if it's giving too much difficulty.
[02:54:53.060 --> 02:54:59.780]   Um, but you need the people who have the tenacity and the fearlessness. Um, and I, I've collaborated
[02:54:59.780 --> 02:55:04.740]   with, with people like that where, well, I want to give up, uh, because the first approach that we
[02:55:04.740 --> 02:55:08.660]   tried didn't work and the second one didn't approach, but they're convinced and they have the third,
[02:55:08.660 --> 02:55:13.780]   fourth, and the fifth of what works. Um, and I have to do my words. Okay. I didn't think this
[02:55:13.780 --> 02:55:18.180]   was going to work, but yes, you were right all along. And we should say for people who don't know,
[02:55:18.180 --> 02:55:22.420]   not only are you known for the brilliance of your work, but the incredible productivity,
[02:55:22.420 --> 02:55:27.620]   just the number of papers, which are all a very high quality. So there's something to be said
[02:55:27.620 --> 02:55:33.460]   about being able to jump from topic to topic. Yeah. It works for me. Yeah. I mean, but there are
[02:55:33.460 --> 02:55:37.940]   also people who are very productive and they, they focus very deeply on. Yeah. I think everyone has to
[02:55:37.940 --> 02:55:42.740]   find their own workflow. Um, like one thing, which is a shame in mathematics is that we have
[02:55:43.300 --> 02:55:46.900]   mathematics, there's sort of a one size fits all approach to teaching, teaching mathematics.
[02:55:46.900 --> 02:55:52.340]   Um, and, you know, so we have a certain curriculum and so forth. I mean, you know, maybe like if you
[02:55:52.340 --> 02:55:58.180]   do math competitions or something, you get a slightly different experience, but, um, I think many people,
[02:55:58.180 --> 02:56:04.660]   um, they don't find their, their native math language, uh, until very late or usually too late. So they,
[02:56:04.660 --> 02:56:09.460]   they stopped doing mathematics and they have a bad experience with a teacher who's trying to teach them one
[02:56:09.460 --> 02:56:16.260]   way to do mathematics that they don't like it. Um, my theory is that, um, humans don't come. Evolution has
[02:56:16.260 --> 02:56:21.620]   not given us a math center of our brain directly. We have a vision center and a language center and some
[02:56:21.620 --> 02:56:26.580]   other centers, um, which have evolution as honed, but we, it doesn't, we don't have an innate sense of
[02:56:26.580 --> 02:56:35.620]   mathematics. Um, but our other centers are sophisticated enough that different people, uh, we, we, we can repurpose
[02:56:36.020 --> 02:56:41.060]   other areas of our brain to do mathematics. So some people have figured out how to use the visual center
[02:56:41.060 --> 02:56:44.180]   to do mathematics. And so they think, think very visually when they do mathematics.
[02:56:44.180 --> 02:56:49.060]   Some people have repurposed their, their language center and they think very symbolically. Um,
[02:56:49.060 --> 02:56:53.300]   you know, um, some people like if, if they are very competitive and they feel like gaming,
[02:56:53.300 --> 02:56:59.380]   there's a type of, there's a part of your brain that's very good at, at, at, uh, at solving puzzles and
[02:56:59.380 --> 02:57:04.820]   games and, and, and, and that can be repurposed. But like when I talk to other mathematicians,
[02:57:04.820 --> 02:57:08.820]   you know, they don't quite think that I can tell that they're using some of the different
[02:57:08.820 --> 02:57:15.220]   styles of, of thinking than I am. I mean, not, not disjoint, but they, they may prefer visual.
[02:57:15.220 --> 02:57:20.820]   I, I, I, I don't actually prefer visual so much. I need lots of visual aids myself. Um, you know,
[02:57:20.820 --> 02:57:24.820]   mathematics provides a common language so we can still talk to each other, even if we are thinking
[02:57:24.820 --> 02:57:31.380]   in different ways, but you can tell there's a different set of subsystems being used in the
[02:57:31.380 --> 02:57:35.540]   thinking process. Like they, they take different paths. They're very quick at things that I struggle
[02:57:35.540 --> 02:57:42.180]   with and vice versa. Um, and yet they still get to the same goal. Um, and yeah, but I mean,
[02:57:42.180 --> 02:57:46.020]   the way we educate, unless you have like a personalized tutor or something, I mean,
[02:57:46.020 --> 02:57:49.860]   education sort of just by initial scale has to be mass produced. You know, you have to teach the 30 kids,
[02:57:49.860 --> 02:57:54.660]   you know, they have 30 different styles. You can't, you can't teach 30 different ways.
[02:57:54.660 --> 02:58:01.220]   - On that topic, what advice would you give to students, uh, young students who are struggling
[02:58:01.220 --> 02:58:06.420]   with math and, but are interested in it and would like to get better? Is there something in this,
[02:58:06.420 --> 02:58:06.980]   - Yeah.
[02:58:06.980 --> 02:58:09.860]   - In this complicated educational context, what, what would you?
[02:58:09.860 --> 02:58:14.260]   - Yeah. It's a tricky problem. One nice thing is that there are now lots of sources
[02:58:14.260 --> 02:58:18.900]   for mathematical enrichment outside the classroom. Um, so in, in, in my day there already, there are math
[02:58:18.900 --> 02:58:23.140]   competitions. Um, and you know, they're also like popular math books in the library. Um,
[02:58:23.140 --> 02:58:28.340]   you know, but now you have, you know, YouTube, uh, there, there are forums just devoted to solving,
[02:58:28.340 --> 02:58:33.780]   you know, math puzzles and, um, and math shows up in, in other places, you know, like, um, for example,
[02:58:33.780 --> 02:58:40.100]   there, there are hobbyists who play poker, uh, for fun. Uh, and, um, they, they, you know,
[02:58:40.100 --> 02:58:44.900]   they are for very specific reasons, are interested in very specific probability questions. Um,
[02:58:44.900 --> 02:58:50.580]   - Yes. - And, and, and they actually, you know, there's a community of amateur probabilists in,
[02:58:50.580 --> 02:58:56.260]   in, in, in poker, um, in chess, in baseball. I mean, there's, there's, there's, uh, yeah, um,
[02:58:56.260 --> 02:59:03.060]   there's math all over the place. Um, and I'm, I'm, I'm hoping actually with, uh, with these new sort
[02:59:03.060 --> 02:59:08.260]   of tools for lean and so forth, that actually we can incorporate the broader public into math research
[02:59:08.260 --> 02:59:14.580]   projects. Um, like this is almost, it's, uh, it doesn't happen at all currently. So in the sciences,
[02:59:14.580 --> 02:59:18.740]   there's some scope for citizen science, like astronomers, uh, uh, they're amateurs who would
[02:59:18.740 --> 02:59:23.700]   discover comets and there's biologists that people who could identify butterflies and so forth. Um,
[02:59:23.700 --> 02:59:28.420]   and in method, um, there are a small number of activities where, um, amateur mathematicians can,
[02:59:28.420 --> 02:59:34.180]   like, discover new primes and so forth. But, but previously, because we had to verify every single
[02:59:34.180 --> 02:59:40.660]   contribution, um, like most mathematical research projects, um, it would not help to have input from
[02:59:40.660 --> 02:59:44.820]   the general public. In fact, it would, it would just be, be time consuming because just error
[02:59:44.820 --> 02:59:49.540]   checking and everything. Um, but, you know, one thing about these formalization projects is that
[02:59:49.540 --> 02:59:54.900]   they are bringing together more, bringing in more people. So I'm sure there are high school students
[02:59:54.900 --> 02:59:58.420]   who've already contributed to some of these, these formalizing projects who contributed to MathLib.
[02:59:58.420 --> 03:00:02.820]   Um, you know, you don't need to be a PhD holder to just work on one atomic thing.
[03:00:02.820 --> 03:00:08.580]   There's something about the formalization here that also, uh, as a very first step,
[03:00:08.580 --> 03:00:13.940]   opens it up to the programming community to the people who are already comfortable with program.
[03:00:13.940 --> 03:00:19.300]   It seems like programming is somehow maybe just the feeling, but it feels more accessible to folks
[03:00:19.300 --> 03:00:26.100]   than math. Math is seen as this like extreme, especially modern mathematics seen as this extremely
[03:00:26.100 --> 03:00:31.060]   difficult to enter area and programming is not. So that could be just an entry point.
[03:00:31.060 --> 03:00:34.500]   you can execute code and you can get results. You know, you can print out the world pretty quickly.
[03:00:34.500 --> 03:00:42.180]   Yeah. Um, you know, like if, uh, if programming was taught as an almost entirely theoretical subject,
[03:00:42.180 --> 03:00:47.700]   where you just taught the computer science, the theory of functions and, and, and, and, and routines
