
[00:00:00.000 --> 00:00:01.640]   what do women want?
[02:59:57.000 --> 02:59:59.300]   - So not just sex?
[02:59:59.300 --> 03:00:01.880]   - Yeah, not just sex at all, yeah.
[03:00:01.880 --> 03:00:03.320]   'Cause I mean, most of what's taught
[03:00:03.320 --> 03:00:05.240]   is they teach about sexual health
[03:00:05.240 --> 03:00:08.280]   and how not to get an STI and so forth.
[03:00:08.280 --> 03:00:11.760]   - Yeah, my teacher put a condom on a banana.
[03:00:11.760 --> 03:00:12.600]   - Right, right.
[03:00:12.600 --> 03:00:13.760]   - It was very exciting.
[03:00:13.760 --> 03:00:16.880]   - But how to select a mate?
[03:00:16.880 --> 03:00:20.160]   How do you know if you're in a bad mating relationship?
[03:00:20.160 --> 03:00:25.160]   How to get out of a bad mating relationship?
[03:00:25.160 --> 03:00:30.160]   I think that there's, at this point in the science,
[03:00:30.160 --> 03:00:31.920]   even though there's a lot that we don't know,
[03:00:31.920 --> 03:00:35.440]   we know enough to at least provide some heuristics
[03:00:35.440 --> 03:00:39.200]   or general guidelines to things to watch out for.
[03:00:39.200 --> 03:00:42.160]   So just as a concrete example,
[03:00:42.160 --> 03:00:44.040]   with intimate partner violence,
[03:00:44.040 --> 03:00:47.160]   and this is male to female,
[03:00:47.160 --> 03:00:50.380]   there are statistical predictors of,
[03:00:50.380 --> 03:00:53.280]   is this guy, does he have an increased probability
[03:00:53.280 --> 03:00:55.040]   of beating you up?
[03:00:55.040 --> 03:00:57.720]   And there are things like if he starts to insist
[03:00:57.720 --> 03:00:59.880]   on knowing where you are at all times,
[03:00:59.880 --> 03:01:02.280]   if he starts cutting off your relationships
[03:01:02.280 --> 03:01:04.200]   with your friends and your family.
[03:01:04.200 --> 03:01:08.800]   So there are these kind of early warning signs,
[03:01:08.800 --> 03:01:11.840]   and I think women should know about those.
[03:01:11.840 --> 03:01:16.840]   Or even things like that women are most in danger
[03:01:16.840 --> 03:01:20.940]   of being killed by an ex during the first three
[03:01:20.940 --> 03:01:23.380]   to six months after they've broken up with him.
[03:01:23.380 --> 03:01:26.160]   That sometimes they think it's,
[03:01:26.160 --> 03:01:29.400]   the guy will say, "Meet with me one last time,
[03:01:29.400 --> 03:01:31.200]   and then I won't bother you again."
[03:01:31.200 --> 03:01:33.640]   No, this is a dangerous time.
[03:01:33.640 --> 03:01:37.200]   So I think there's some knowledge that we do know
[03:01:37.200 --> 03:01:39.720]   that can be used to make informed decisions
[03:01:39.720 --> 03:01:42.600]   about our mating lives, and I think that should be taught.
[03:01:42.600 --> 03:01:47.080]   - So consider that, like take the mating strategies,
[03:01:47.080 --> 03:01:49.600]   the mating life seriously.
[03:01:49.600 --> 03:01:51.080]   - Yeah, yeah, absolutely.
[03:01:51.080 --> 03:01:56.080]   And because, aside from a small number of people
[03:01:56.080 --> 03:01:59.760]   who are totally uninterested in any kind of mating
[03:01:59.760 --> 03:02:02.800]   or sexuality, and there are a small percentage
[03:02:02.800 --> 03:02:04.240]   that fall into that category,
[03:02:04.240 --> 03:02:07.720]   we all confront problems of mating.
[03:02:07.720 --> 03:02:10.000]   - How do you, you know there's that,
[03:02:10.000 --> 03:02:11.800]   called the mathematical model,
[03:02:11.800 --> 03:02:14.240]   like secretary problem, marriage problem.
[03:02:14.240 --> 03:02:16.200]   I don't know if you're familiar, but basically,
[03:02:16.200 --> 03:02:19.580]   you have, it's a silly, perhaps not,
[03:02:19.580 --> 03:02:23.680]   it's a formalized, simplified,
[03:02:24.560 --> 03:02:28.560]   queuing theory type of thing, where you have N subjects,
[03:02:28.560 --> 03:02:33.560]   and you get to date some number of people,
[03:02:33.560 --> 03:02:36.200]   and then there's a stopping condition,
[03:02:36.200 --> 03:02:38.640]   I believe it's N over E,
[03:02:38.640 --> 03:02:42.000]   beyond which you pick the next partner,
[03:02:42.000 --> 03:02:44.560]   which is better than anybody you've dated before.
[03:02:44.560 --> 03:02:49.000]   So let's not overemphasize that idea,
[03:02:49.000 --> 03:02:53.600]   but if I were to psychologize it,
[03:02:53.600 --> 03:02:56.760]   I would say that some exploration is good,
[03:02:56.760 --> 03:03:00.200]   some dating is good, but at a certain point,
[03:03:00.200 --> 03:03:04.480]   you pick somebody, given the set of people you've explored,
[03:03:04.480 --> 03:03:09.480]   you pick somebody who is pretty desirable
[03:03:09.480 --> 03:03:11.880]   within that group.
[03:03:11.880 --> 03:03:15.360]   - Yeah, yeah, but I would add that what you also wanna do
[03:03:15.360 --> 03:03:19.560]   is you want to mate with someone
[03:03:19.560 --> 03:03:21.960]   who's equivalent in mate value,
[03:03:21.960 --> 03:03:25.480]   or has even what's more difficult is,
[03:03:25.480 --> 03:03:30.480]   has a likely equivalent future mate value trajectory,
[03:03:30.480 --> 03:03:34.200]   because nothing remains static.
[03:03:34.200 --> 03:03:36.760]   - Yes, that's beautiful.
[03:03:36.760 --> 03:03:39.920]   - But it's also the case that there are individual things,
[03:03:39.920 --> 03:03:40.920]   we haven't talked about these,
[03:03:40.920 --> 03:03:44.800]   but things like religious orientation,
[03:03:44.800 --> 03:03:48.360]   political orientation, values,
[03:03:48.360 --> 03:03:51.520]   these are extremely important to be compatible on.
[03:03:51.520 --> 03:03:54.560]   And so you do have cases of, let's say,
[03:03:54.560 --> 03:03:57.680]   a Democrat marrying a Republican,
[03:03:57.680 --> 03:04:01.240]   and that sometimes works,
[03:04:01.240 --> 03:04:03.720]   but you're gonna get into a lot of conflict,
[03:04:03.720 --> 03:04:05.320]   other things being equal,
[03:04:05.320 --> 03:04:08.040]   or someone who's deeply religious
[03:04:08.040 --> 03:04:10.480]   versus someone who is not at all religious,
[03:04:10.480 --> 03:04:11.800]   that's gonna be a problem,
[03:04:11.800 --> 03:04:14.200]   or someone who's of a different religious faith.
[03:04:14.200 --> 03:04:18.800]   And so compatibility on those things,
[03:04:18.800 --> 03:04:21.600]   compatibility also on personality dimensions,
[03:04:21.600 --> 03:04:22.920]   I think there's some main effects,
[03:04:22.920 --> 03:04:26.360]   so I would recommend avoiding that dimension
[03:04:26.360 --> 03:04:29.080]   we talked about of emotional instability,
[03:04:29.080 --> 03:04:31.400]   'cause if you sign up for that,
[03:04:31.400 --> 03:04:33.840]   you at least should know you're gonna be in for
[03:04:33.840 --> 03:04:36.000]   a lot of conflict.
[03:04:36.000 --> 03:04:37.560]   It may be exciting at times,
[03:04:37.560 --> 03:04:39.560]   but there's gonna be a lot of ups and downs.
[03:04:39.560 --> 03:04:40.920]   - Know what you sign up for.
[03:04:40.920 --> 03:04:43.320]   What about how much to date?
[03:04:43.320 --> 03:04:45.120]   So there's a culture,
[03:04:45.120 --> 03:04:48.640]   I'm speaking soon to a founder
[03:04:48.640 --> 03:04:52.280]   and long-time ex-CEO of Tinder,
[03:04:52.280 --> 03:04:56.840]   so there's that culture of digitalized dating,
[03:04:56.840 --> 03:04:58.920]   of swipe right, swipe left.
[03:04:58.920 --> 03:05:01.800]   Is it positive, negative?
[03:05:01.800 --> 03:05:03.840]   How much should you date?
[03:05:03.840 --> 03:05:04.760]   What's the number?
[03:05:04.760 --> 03:05:08.480]   And also, what number of sexual partners should you,
[03:05:08.480 --> 03:05:10.680]   what's optimal, asking for a friend?
[03:05:10.680 --> 03:05:13.720]   - I don't know if there's a single optimum there.
[03:05:13.720 --> 03:05:15.600]   - I was hoping there was.
[03:05:15.600 --> 03:05:16.440]   - I think that--
[03:05:16.440 --> 03:05:20.320]   - Is it single digits or double digits?
[03:05:20.320 --> 03:05:21.440]   I need answers.
[03:05:21.440 --> 03:05:22.320]   - Well, I don't know.
[03:05:22.320 --> 03:05:25.880]   I get some of my wisdom from lyrics, from songs.
[03:05:25.880 --> 03:05:26.720]   - Me too.
[03:05:26.720 --> 03:05:28.200]   Bruce Springsteen.
[03:05:28.200 --> 03:05:32.560]   - This Eagles song, I think Don Henley said something like,
[03:05:32.560 --> 03:05:35.120]   there are too many lovers in one lifetime,
[03:05:35.120 --> 03:05:38.280]   ain't good for you, or something like that.
[03:05:38.280 --> 03:05:42.440]   But I think there is--
[03:05:42.440 --> 03:05:44.040]   - Take it easy is a good one too.
[03:05:44.040 --> 03:05:44.880]   - Yeah.
[03:05:45.840 --> 03:05:48.680]   Basically, don't get too attached.
[03:05:48.680 --> 03:05:51.400]   Don't take heartbreak too seriously.
[03:05:51.400 --> 03:05:52.240]   - Yeah.
[03:05:52.240 --> 03:05:55.120]   So, but I think, I mean, internet dating,
[03:05:55.120 --> 03:05:57.720]   and there's been some work on them,
[03:05:57.720 --> 03:06:00.480]   I think has its pluses and minuses.
[03:06:00.480 --> 03:06:03.320]   And one of the pluses is it gives you access
[03:06:03.320 --> 03:06:04.880]   to potential pools of mates
[03:06:04.880 --> 03:06:08.520]   that you could never possibly meet in real life,
[03:06:08.520 --> 03:06:12.120]   where mating and dating used to be either people you knew,
[03:06:12.120 --> 03:06:16.960]   or friends of friends, or you go out to bars, or parties.
[03:06:16.960 --> 03:06:18.840]   But so that's the good thing,
[03:06:18.840 --> 03:06:22.480]   gives you access to those extended pools.
[03:06:22.480 --> 03:06:26.120]   But also it gives people the illusion
[03:06:26.120 --> 03:06:28.640]   that there's always someone better out there for you.
[03:06:28.640 --> 03:06:30.440]   Someone who's just a little more attractive,
[03:06:30.440 --> 03:06:32.280]   a little more compatible, a little more.
[03:06:32.280 --> 03:06:35.400]   And so it produces what's sometimes
[03:06:35.400 --> 03:06:37.560]   called decision paralysis.
[03:06:37.560 --> 03:06:41.200]   You have too many options and you can't choose.
[03:06:41.200 --> 03:06:45.400]   I think one other potential negative,
[03:06:45.400 --> 03:06:46.800]   which I think could be corrected
[03:06:46.800 --> 03:06:48.720]   by these internet dating sites,
[03:06:48.720 --> 03:06:53.720]   is that the picture, the photographs of the face and body
[03:06:53.720 --> 03:06:59.360]   tend to overwhelm all other sources of information.
[03:06:59.360 --> 03:07:02.120]   And so, especially if you're just looking for a sex partner,
[03:07:02.120 --> 03:07:02.960]   that's one thing.
[03:07:02.960 --> 03:07:05.880]   Physical appearances, it's fine for that
[03:07:05.880 --> 03:07:07.600]   to be overwhelmingly important.
[03:07:07.600 --> 03:07:09.200]   But if you're looking for a long-term mate,
[03:07:09.200 --> 03:07:10.360]   there's so many other things
[03:07:10.360 --> 03:07:13.080]   that are really, really important.
[03:07:13.080 --> 03:07:17.680]   And so, but people tend to be swamped
[03:07:17.680 --> 03:07:21.200]   by the visual input, which is natural
[03:07:21.200 --> 03:07:24.160]   because that's where we evolved to respond to visual input.
[03:07:24.160 --> 03:07:27.000]   We're not evolved to respond to words,
[03:07:27.000 --> 03:07:32.640]   like, "Oh, I like to go fishing," or something like that.
[03:07:32.640 --> 03:07:37.160]   So if there's some way for these sites to,
[03:07:37.160 --> 03:07:40.640]   in long-term mating, for these other characteristics
[03:07:40.640 --> 03:07:44.800]   to be made more salient in people's information processing,
[03:07:44.800 --> 03:07:47.520]   I think that would be a valuable improvement.
[03:07:47.520 --> 03:07:50.320]   - Yeah, because even, forget long-term beauty,
[03:07:50.320 --> 03:07:54.380]   even sex appeal is,
[03:07:54.380 --> 03:07:57.600]   like, even the word appearance,
[03:07:57.600 --> 03:08:00.520]   it feels like, to me, people that are super sexy
[03:08:00.520 --> 03:08:04.120]   in real life are a lot more than their picture.
[03:08:04.120 --> 03:08:04.960]   - Yeah, yeah.
[03:08:04.960 --> 03:08:07.520]   Like, it's actually surprising.
[03:08:07.520 --> 03:08:09.360]   Like, they come to life in different ways.
[03:08:09.360 --> 03:08:10.200]   - Yes.
[03:08:10.200 --> 03:08:12.160]   - It could be either submissiveness as shyness
[03:08:12.160 --> 03:08:17.160]   or extravagant wit and humor,
[03:08:17.160 --> 03:08:20.400]   or like super confident or super,
[03:08:20.400 --> 03:08:22.040]   like, whatever they are,
[03:08:22.040 --> 03:08:24.920]   whatever the weirdness that they are comes through.
[03:08:24.920 --> 03:08:27.120]   So when people say, well,
[03:08:27.120 --> 03:08:28.600]   that was just the case of the,
[03:08:28.600 --> 03:08:31.600]   sort of proponents of dating apps,
[03:08:31.600 --> 03:08:34.040]   it's like, well, when you meet somebody at a bar,
[03:08:34.040 --> 03:08:35.760]   you're getting the same experience as you do
[03:08:35.760 --> 03:08:38.680]   on a dating site, you have very little information,
[03:08:38.680 --> 03:08:40.680]   all you get is appearance.
[03:08:40.680 --> 03:08:43.480]   But I don't think appearance on the screen
[03:08:43.480 --> 03:08:45.440]   is the same as appearance in real life,
[03:08:45.440 --> 03:08:47.400]   especially with people that, for some reason,
[03:08:47.400 --> 03:08:48.920]   you find super sexy.
[03:08:48.920 --> 03:08:51.480]   'Cause, like, and again, the objectification
[03:08:51.480 --> 03:08:53.220]   that we mentioned earlier is the,
[03:08:53.220 --> 03:08:56.760]   it over-optimizes for people
[03:08:56.760 --> 03:08:59.120]   who are good at taking pictures of themselves.
[03:08:59.120 --> 03:09:02.020]   Like, they're representing themselves inaccurately.
[03:09:03.120 --> 03:09:06.060]   They're not just even in the physical features,
[03:09:06.060 --> 03:09:07.680]   but in the way those physical features
[03:09:07.680 --> 03:09:10.000]   are used in physical reality.
[03:09:10.000 --> 03:09:11.540]   Like, in terms of body language,
[03:09:11.540 --> 03:09:13.200]   in terms of flirtation,
[03:09:13.200 --> 03:09:16.320]   in terms of just everything put together.
[03:09:16.320 --> 03:09:21.320]   So I just, I wonder if there's a way to close that gap.
[03:09:21.320 --> 03:09:24.420]   And I don't know what that is exactly.
[03:09:24.420 --> 03:09:27.400]   I tend to believe more information is good on dating.
[03:09:27.400 --> 03:09:28.760]   I don't use, actually, dating apps.
