
[00:00:00.000 --> 00:00:02.240]   a generally well-educated human.
[01:50:24.940 --> 01:50:26.660]   they go into finance instead.
[01:50:26.660 --> 01:50:28.620]   And since Anthropic exists,
[01:50:28.620 --> 01:50:32.180]   they have now been recruited to go into AI.
[01:50:32.180 --> 01:50:35.180]   And, you know, they're, you obviously care about AI safety,
[01:50:35.180 --> 01:50:37.940]   but who, you know, maybe in the future they leave
[01:50:37.940 --> 01:50:40.020]   and they get funded to do their own thing.
[01:50:40.020 --> 01:50:41.860]   Is that a concern that you're bringing more people
[01:50:41.860 --> 01:50:42.820]   into the ecosystem here?
[01:50:42.820 --> 01:50:43.820]   - Yeah, I mean, you know,
[01:50:43.820 --> 01:50:46.260]   I think there's like a broad set of action, you know,
[01:50:46.260 --> 01:50:48.020]   like we're causing GPUs to exist.
[01:50:48.020 --> 01:50:50.540]   You know, there's a lot of kind of side effects
[01:50:50.540 --> 01:50:53.020]   that you can't, that you can't currently control
[01:50:53.020 --> 01:50:55.460]   or that you just incur if you buy into the idea
[01:50:55.460 --> 01:50:57.860]   that you need to build frontier models.
[01:50:57.860 --> 01:50:58.700]   And that's one of them.
[01:50:58.700 --> 01:50:59.860]   A lot of them would have happened anyway.
[01:50:59.860 --> 01:51:02.220]   I mean, finance was a hot thing 20 years ago.
[01:51:02.220 --> 01:51:03.260]   So physicists were doing it.
[01:51:03.260 --> 01:51:04.500]   Now ML is the hot thing.
[01:51:04.500 --> 01:51:07.140]   And, you know, it's not like we caused them to do it
[01:51:07.140 --> 01:51:08.700]   when they had no interest previously.
[01:51:08.700 --> 01:51:11.660]   But, you know, again, you know, at the margin,
[01:51:11.660 --> 01:51:14.340]   you're kind of, you're kind of bidding things up.
[01:51:14.340 --> 01:51:16.660]   And, you know, a lot of that would have happened anyway.
[01:51:16.660 --> 01:51:17.820]   Some of it, some of it wouldn't,
[01:51:17.820 --> 01:51:19.100]   but it's all part of the calculus.
[01:51:19.100 --> 01:51:21.380]   - Do you think that cloud has conscious experience?
[01:51:21.380 --> 01:51:22.500]   How likely do you think that is?
[01:51:22.500 --> 01:51:23.900]   - This is another of these questions
[01:51:23.900 --> 01:51:26.460]   that just seems very unsettled and uncertain.
[01:51:26.460 --> 01:51:28.660]   One thing I'll tell you is I used to think
[01:51:28.660 --> 01:51:30.980]   that we didn't have to worry about this at all
[01:51:30.980 --> 01:51:33.100]   until models were kind of like operating
[01:51:33.100 --> 01:51:35.540]   in rich environments, like not necessarily embodied,
[01:51:35.540 --> 01:51:37.460]   but like that, you know, they, you know,
[01:51:37.460 --> 01:51:39.940]   they needed to like have a reward function
[01:51:39.940 --> 01:51:43.060]   and like have kind of long lived experience.
[01:51:43.060 --> 01:51:44.860]   So I still think that might be the case,
[01:51:44.860 --> 01:51:47.900]   but the more we've looked at kind of these language models
[01:51:47.900 --> 01:51:49.220]   and particularly looked inside them
[01:51:49.220 --> 01:51:51.700]   to see things like induction heads,
[01:51:51.700 --> 01:51:53.380]   a lot of the cognitive machinery
[01:51:53.380 --> 01:51:55.380]   that you would need for active agents
[01:51:55.380 --> 01:51:58.780]   seems kind of already present in the base language models.
[01:51:58.780 --> 01:52:01.580]   So I'm not quite as sure as I was before
[01:52:01.580 --> 01:52:04.180]   that we're missing the things that, you know,
[01:52:04.180 --> 01:52:06.660]   that we're missing enough of the things that you would need.
[01:52:06.660 --> 01:52:10.780]   I think today's models just probably aren't smart enough
[01:52:10.780 --> 01:52:12.700]   that we should worry about this too much,
[01:52:12.700 --> 01:52:15.020]   but I'm not 100% sure about this.
[01:52:15.020 --> 01:52:16.940]   And I do think the models will get in a year or two,
[01:52:16.940 --> 01:52:19.500]   like this might be a very real concern.
[01:52:19.500 --> 01:52:21.300]   - What would change if you found out
[01:52:21.300 --> 01:52:22.220]   that they are conscious?
[01:52:22.220 --> 01:52:23.740]   Are you worried that you're pushing
[01:52:23.740 --> 01:52:25.300]   the negative gradients of suffering?
[01:52:25.300 --> 01:52:26.140]   Like what is...
[01:52:26.140 --> 01:52:27.500]   - Conscious is again, one of these words
[01:52:27.500 --> 01:52:29.860]   that I suspect it will like not end up
[01:52:29.860 --> 01:52:31.500]   having a well-defined meaning.
[01:52:31.500 --> 01:52:32.860]   - But it's like something to be caught.
[01:52:32.860 --> 01:52:34.220]   - Yeah, but that, yeah.
[01:52:34.220 --> 01:52:37.980]   Well, I suspect that's a spectrum, right?
[01:52:37.980 --> 01:52:41.380]   So I don't know, if we discover like that, you know,
[01:52:41.380 --> 01:52:42.660]   that I should care about...
[01:52:42.660 --> 01:52:43.980]   Let's say we discover that I should care
[01:52:43.980 --> 01:52:47.020]   about Claude's experience as much as I should care about
[01:52:47.020 --> 01:52:48.980]   like a dog or a monkey or something.
[01:52:48.980 --> 01:52:52.100]   Yeah, I would be kind of worried.
[01:52:52.100 --> 01:52:54.940]   I don't know if their experience is positive or negative.
[01:52:54.940 --> 01:52:57.300]   Unsettlingly, I also don't know, like,
[01:52:57.300 --> 01:53:01.020]   I wouldn't know if any intervention that we made
[01:53:01.020 --> 01:53:03.500]   was more likely to make Claude, you know,
[01:53:03.500 --> 01:53:05.500]   have a positive versus negative experience
[01:53:05.500 --> 01:53:06.740]   versus not having one.
[01:53:06.740 --> 01:53:08.660]   If there's an area that is helpful with this,
[01:53:08.660 --> 01:53:10.780]   it's maybe mechanistic interpretability.
[01:53:10.780 --> 01:53:12.860]   'Cause I think of it as neuroscience for models.
[01:53:12.860 --> 01:53:16.900]   And so it's possible that we could shed some light on this.
[01:53:16.900 --> 01:53:19.980]   Although, you know, it's not a straightforward,
[01:53:19.980 --> 01:53:21.460]   factual question, right?
[01:53:21.460 --> 01:53:23.700]   It kind of depends what we mean and what we value.
[01:53:23.700 --> 01:53:25.020]   - We talked about this initially,
[01:53:25.020 --> 01:53:26.540]   but I wanna get more specific.
[01:53:26.540 --> 01:53:28.140]   We talked initially about, you know,
[01:53:28.140 --> 01:53:30.220]   now that you're seeing these capabilities ramp up
[01:53:30.220 --> 01:53:31.980]   within the human spectrum,
[01:53:31.980 --> 01:53:35.260]   you think that the human spectrum is wider than we thought.
[01:53:35.260 --> 01:53:38.220]   But more specifically, what have you,
[01:53:38.220 --> 01:53:40.820]   how is the way you think about human intelligence different
[01:53:40.820 --> 01:53:42.740]   now that the way you're seeing
[01:53:42.740 --> 01:53:45.620]   these marginally useful abilities emerge,
[01:53:45.620 --> 01:53:48.380]   how does that change your picture of what intelligence is?
[01:53:48.380 --> 01:53:50.620]   - I think for me, the big realization
[01:53:50.620 --> 01:53:52.740]   on what intelligence is came with the like blob
[01:53:52.740 --> 01:53:53.740]   of compute thing, right?
[01:53:53.740 --> 01:53:55.300]   Like it's not, you know,
[01:53:55.300 --> 01:53:57.140]   there might be all these separate modules,
[01:53:57.140 --> 01:53:59.420]   there might be all this complexity.
[01:53:59.420 --> 01:54:00.420]   You know, it's, you know,
[01:54:00.420 --> 01:54:02.340]   Rich Sutton called it the bitter lesson, right?
[01:54:02.340 --> 01:54:04.020]   It's almost called, has many names.
[01:54:04.020 --> 01:54:05.660]   It's been called the scaling hypothesis.
[01:54:05.660 --> 01:54:07.740]   Like the first few people who figured it out
[01:54:07.740 --> 01:54:09.420]   was around 2017.
[01:54:09.420 --> 01:54:10.780]   I mean, you could go further back to,
[01:54:10.780 --> 01:54:13.740]   I think Shane Lake was maybe the first person
[01:54:13.740 --> 01:54:14.980]   who really knew it.
[01:54:14.980 --> 01:54:18.220]   Maybe Ray Kurzweil, although in a very vague way.
[01:54:18.220 --> 01:54:20.380]   But, you know, I think the number of people
[01:54:20.380 --> 01:54:25.380]   who understood it went up a lot around 2014 to 2017.
[01:54:25.380 --> 01:54:27.980]   But I think that was the big realization.
[01:54:27.980 --> 01:54:30.780]   It's like, you know, well, how did intelligence evolve?
[01:54:30.780 --> 01:54:33.540]   Well, if you don't need very specific conditions
[01:54:33.540 --> 01:54:35.580]   to create it, if you can create it
[01:54:35.580 --> 01:54:38.020]   just from like the right,
[01:54:38.020 --> 01:54:40.300]   kind of the right kind of gradient loss signal,
[01:54:40.300 --> 01:54:41.980]   then of course it's not so mysterious
[01:54:41.980 --> 01:54:43.580]   how it all happened in terms, you know,
[01:54:43.580 --> 01:54:46.700]   it had this click of scientific understanding.
[01:54:46.700 --> 01:54:50.020]   In terms of like watching what the models can do,
[01:54:50.020 --> 01:54:52.860]   how has it changed my view of human intelligence?
[01:54:52.860 --> 01:54:56.500]   I wish I had something more intelligent to say on that.
[01:54:56.500 --> 01:54:58.620]   I feel like, I don't know,
[01:54:58.620 --> 01:55:01.420]   one thing that's been surprising is like,
[01:55:01.420 --> 01:55:03.140]   I thought things might click into place
[01:55:03.140 --> 01:55:04.420]   a little more than they do.
[01:55:04.420 --> 01:55:06.460]   Like, you know, I thought like different
[01:55:06.460 --> 01:55:09.540]   cognitive abilities might all be connected
[01:55:09.540 --> 01:55:11.380]   and there was more of one secret behind them.
[01:55:11.380 --> 01:55:14.580]   But it's like, the model just learns various things
[01:55:14.580 --> 01:55:15.620]   at different times, you know,
[01:55:15.620 --> 01:55:17.300]   and it can be like very good at coding,
[01:55:17.300 --> 01:55:19.780]   but like, you know, it can't quite, you know,
[01:55:19.780 --> 01:55:21.500]   prove the prime number theorem yet.
[01:55:21.500 --> 01:55:23.620]   And I don't, I mean, I guess it's a little bit
[01:55:23.620 --> 01:55:26.540]   the same for humans, although it's weird,
[01:55:26.540 --> 01:55:29.060]   the juxtaposition of things it can do and not.
[01:55:29.060 --> 01:55:30.940]   I guess the main lesson is like,
[01:55:30.940 --> 01:55:34.100]   having theories of intelligence or how intelligence works.
[01:55:34.100 --> 01:55:36.940]   Like, again, a lot of these words
[01:55:36.940 --> 01:55:40.020]   just kind of like dissolve into a continuum, right?
[01:55:40.020 --> 01:55:43.380]   They just kind of like dematerialize.
[01:55:43.380 --> 01:55:45.020]   I think less in terms of intelligence
[01:55:45.020 --> 01:55:47.140]   and more in terms of what we see in front of us.
[01:55:47.140 --> 01:55:49.300]   - Yeah, no, it's really surprising to me.
[01:55:49.300 --> 01:55:50.140]   Two things.
[01:55:50.140 --> 01:55:53.500]   One is how discreet these like different paths
[01:55:53.500 --> 01:55:56.340]   of intelligent things that contribute to loss are
[01:55:56.340 --> 01:55:58.420]   rather than just being like one reasoning circuit
[01:55:58.420 --> 01:55:59.780]   or one general intelligence.
[01:55:59.780 --> 01:56:01.420]   And the other thing talking with you
[01:56:01.420 --> 01:56:03.940]   that is surprising or interesting is,
[01:56:03.940 --> 01:56:06.100]   many years from now, it'll be one of those things
[01:56:06.100 --> 01:56:07.660]   that looking back, it'll be,
[01:56:07.660 --> 01:56:09.820]   why wasn't this obvious to you?
[01:56:09.820 --> 01:56:11.860]   If you're seeing these smooth scaling curves,
[01:56:11.860 --> 01:56:14.500]   why at a time where you're not completely convinced?
[01:56:14.500 --> 01:56:17.780]   So you've been less public than the CEOs
[01:56:17.780 --> 01:56:19.340]   of other AI companies.
[01:56:19.340 --> 01:56:20.860]   You know, you're not posting on Twitter.
[01:56:20.860 --> 01:56:24.740]   You're not doing a lot of podcasts except for this one.
[01:56:24.740 --> 01:56:25.980]   What gives?
[01:56:25.980 --> 01:56:27.940]   Like, why are you off the radar?
[01:56:27.940 --> 01:56:31.300]   - Yeah, I aspire to this and I'm proud of this.
[01:56:31.300 --> 01:56:34.100]   If people think of me as kind of like boring and low profile,
[01:56:34.100 --> 01:56:36.300]   like this is actually kind of what I want.
[01:56:36.300 --> 01:56:37.140]   So I don't know.
[01:56:37.140 --> 01:56:39.460]   I've just seen a number of cases,
[01:56:39.460 --> 01:56:41.460]   a number of people I've worked with
[01:56:41.460 --> 01:56:43.620]   that I think you could say Twitter,
[01:56:43.620 --> 01:56:45.260]   although I think I mean a broader thing,
[01:56:45.260 --> 01:56:48.340]   like just kind of like attaching your incentives
[01:56:48.340 --> 01:56:52.700]   very strongly to like the approval or cheering of a crowd.
[01:56:52.700 --> 01:56:54.340]   I think that can destroy your mind
[01:56:54.340 --> 01:56:56.380]   and in some cases it can destroy your soul.
[01:56:56.380 --> 01:56:59.780]   And so I think I kind of deliberately tried
[01:56:59.780 --> 01:57:02.580]   to be a little bit low profile because I wanna,
[01:57:02.580 --> 01:57:05.180]   I don't know, kind of like defend my ability
[01:57:05.180 --> 01:57:07.860]   to think about things intellectually
[01:57:07.860 --> 01:57:10.740]   in a way that's different from other people
[01:57:10.740 --> 01:57:14.300]   and isn't kind of tinged by the approval of other people.
[01:57:14.300 --> 01:57:18.420]   So I've seen cases of folks who are deep learning skeptics
[01:57:18.420 --> 01:57:21.500]   and they become known as deep learning skeptics on Twitter.
[01:57:21.500 --> 01:57:24.140]   And then even as it starts to become clear to me,
[01:57:24.140 --> 01:57:25.740]   they've kind of sort of changed their mind.
[01:57:25.740 --> 01:57:27.740]   They like, this is their thing on Twitter
[01:57:27.740 --> 01:57:29.420]   and they can't change their Twitter persona
[01:57:29.420 --> 01:57:31.060]   and so forth and so on.
