
[00:00:00.000 --> 00:00:01.660]   So it's mid-summer.
[01:24:53.760 --> 01:24:57.080]   All right, this is the account.
[01:24:57.080 --> 01:25:00.720]   Peter Matheson is a reporter who embedded
[01:25:00.720 --> 01:25:05.720]   on a expedition in the late 1960s
[01:25:05.720 --> 01:25:07.520]   to find and film great white sharks.
[01:25:07.520 --> 01:25:10.480]   Very little was known about great white sharks.
[01:25:10.480 --> 01:25:12.240]   I mean, even just sharks in general,
[01:25:12.240 --> 01:25:14.720]   we didn't know much about in the '50s.
[01:25:14.720 --> 01:25:17.480]   So not that much before this book came out.
[01:25:17.480 --> 01:25:20.520]   Jacques Cousteau started going underwater
[01:25:20.520 --> 01:25:22.920]   with cameras and scuba gear and filming sharks underwater.
[01:25:22.920 --> 01:25:24.040]   And this was kind of a new thing.
[01:25:24.040 --> 01:25:25.840]   People were like, "Ooh, look at this."
[01:25:25.840 --> 01:25:29.800]   And then this particular crew,
[01:25:29.800 --> 01:25:32.960]   it was the son or someone from the,
[01:25:32.960 --> 01:25:35.080]   I guess the grandson of Gimbels
[01:25:35.080 --> 01:25:37.360]   from like the Gimbels department store fortune.
[01:25:37.360 --> 01:25:39.400]   And some others set out to film great white sharks
[01:25:39.400 --> 01:25:42.280]   because very little was known about them, right?
[01:25:42.280 --> 01:25:44.160]   And they're like, "We're gonna get our first
[01:25:44.160 --> 01:25:47.240]   "like real footage of like great white sharks in action."
[01:25:47.240 --> 01:25:49.120]   They were sort of like the early innovators here
[01:25:49.120 --> 01:25:51.000]   of shark cages, like we're gonna get in water
[01:25:51.000 --> 01:25:52.280]   and film these things underwater.
[01:25:52.280 --> 01:25:54.720]   They kind of invented some of the first shark cages.
[01:25:54.720 --> 01:25:56.680]   And they went out to sort of find
[01:25:56.680 --> 01:25:57.960]   where are great white sharks.
[01:25:57.960 --> 01:26:00.920]   Look, we knew very little about these back then
[01:26:00.920 --> 01:26:02.480]   and they wanted to find them.
[01:26:02.480 --> 01:26:03.920]   And so this reporter came along with it
[01:26:03.920 --> 01:26:05.040]   and then wrote a book about it.
[01:26:05.040 --> 01:26:07.520]   And I found the vintage copy of this book, "Blue Meridian."
[01:26:07.520 --> 01:26:08.880]   And it's a fun summer read.
[01:26:08.880 --> 01:26:12.360]   Why is "Blue Meridian" kind of famous?
[01:26:12.360 --> 01:26:15.480]   Because it's the book and more importantly,
[01:26:15.480 --> 01:26:17.440]   the documentary that the book is about.
[01:26:17.440 --> 01:26:19.640]   This documentary is what Peter Benchley saw
[01:26:19.640 --> 01:26:24.080]   in the early '70s and got the idea for writing "Jaws."
[01:26:24.080 --> 01:26:27.360]   So he saw the documentary that this,
[01:26:27.360 --> 01:26:28.720]   that came out of this expedition,
[01:26:28.720 --> 01:26:31.480]   which was called "Blue Water, White Death."
[01:26:31.480 --> 01:26:33.080]   And that's how he got motivated to like,
[01:26:33.080 --> 01:26:35.440]   "Ooh, I should write about white sharks attacking people."
[01:26:35.440 --> 01:26:37.680]   So just kind of these like interesting connections.
[01:26:37.680 --> 01:26:38.840]   It was a fun book, well-written.
[01:26:38.840 --> 01:26:40.520]   Peter Matheson's a good writer.
[01:26:40.520 --> 01:26:44.080]   Speaking of aquatic themes,
[01:26:44.080 --> 01:26:45.320]   I also read a book called
[01:26:45.320 --> 01:26:50.000]   "History of the World in 12 Shipwrecks" by David Gibbons.
[01:26:50.000 --> 01:26:52.040]   This was just an impulse buy.
[01:26:52.040 --> 01:26:52.920]   I don't know where I got this from.
[01:26:52.920 --> 01:26:55.840]   I think I got it from "Politics and Prose."
[01:26:55.840 --> 01:26:58.080]   He's an underwater archeologist,
[01:26:58.080 --> 01:27:00.600]   like a storied underwater archeologist,
[01:27:00.600 --> 01:27:02.840]   like has 40 years and has been involved
[01:27:02.840 --> 01:27:07.080]   in some of the major shipwreck dives of those 40 years.
[01:27:07.080 --> 01:27:10.720]   The book is just, here's 12 shipwrecks,
[01:27:10.720 --> 01:27:12.440]   most of which he dived on,
[01:27:12.440 --> 01:27:14.000]   and he gives the history of the wrecks,
[01:27:14.000 --> 01:27:17.560]   but also the time period in which that wreck came from.
[01:27:17.560 --> 01:27:20.080]   And in doing so, you get kind of like a nice capsule history
[01:27:20.080 --> 01:27:22.960]   of important places and times in the history of the world.
[01:27:22.960 --> 01:27:24.480]   So like, here's a Viking ship,
[01:27:24.480 --> 01:27:25.800]   here's an ancient Roman ship,
[01:27:25.800 --> 01:27:28.440]   here's, you know, up through like a World War II ship.
[01:27:28.440 --> 01:27:30.680]   So it was a pretty cool book.
[01:27:30.680 --> 01:27:34.080]   He's a dense writer, so I'll just warn you about that.
[01:27:34.080 --> 01:27:36.160]   He writes, he's British and academic.
[01:27:36.160 --> 01:27:39.840]   So man, like you have to go slow.
[01:27:39.840 --> 01:27:44.840]   It is like, his sentences are like they're Byzantine, right?
[01:27:46.560 --> 01:27:51.560]   Like, he will, this secondary clause, tertiary clause,
[01:27:51.560 --> 01:27:53.960]   back to a secondary clause, back to the original clause.
[01:27:53.960 --> 01:27:56.200]   And also he just references things.
[01:27:56.200 --> 01:27:58.280]   So there's like a, even though this is a book
[01:27:58.280 --> 01:27:59.640]   written for a general audience,
[01:27:59.640 --> 01:28:02.160]   he's like constantly referencing things
[01:28:02.160 --> 01:28:04.000]   that he sort of just assumes you know about.
[01:28:04.000 --> 01:28:04.840]   And you're like, what the,
[01:28:04.840 --> 01:28:06.520]   I have no idea who these people are and what's going on.
[01:28:06.520 --> 01:28:09.680]   So very like sort of British historian type,
[01:28:09.680 --> 01:28:11.780]   but really cool guy and interesting book.
[01:28:11.780 --> 01:28:14.440]   Another impulse read,
[01:28:14.440 --> 01:28:16.280]   I grabbed this on a bookstore in Vermont somewhere
[01:28:16.280 --> 01:28:17.280]   when I was up North.
[01:28:17.280 --> 01:28:20.720]   This is Peggy Ornstein's book she wrote during COVID-19
[01:28:20.720 --> 01:28:25.720]   called "Unraveling," where she wanted to do all the steps
[01:28:25.720 --> 01:28:28.380]   of producing the yarn to knit her own sweater.
[01:28:28.380 --> 01:28:32.840]   So shearing the sheep, changing the like,
[01:28:32.840 --> 01:28:34.880]   I don't know how you, spinning the wool,
[01:28:34.880 --> 01:28:38.760]   dyeing the yarn, and then sewing the sweater.
[01:28:38.760 --> 01:28:42.760]   I sort of was in the mood for this sort of experiment
[01:28:42.760 --> 01:28:44.160]   in rural living type of book.
[01:28:44.160 --> 01:28:46.080]   And Peggy Ornstein's a great writer.
[01:28:46.080 --> 01:28:47.840]   So I read it, it was good.
[01:28:47.840 --> 01:28:49.840]   I thought it was really interesting.
[01:28:49.840 --> 01:28:53.920]   Sort of a lot of COVID era left politics in there,
[01:28:53.920 --> 01:28:57.440]   which kind of got a little annoying after a while,
[01:28:57.440 --> 01:28:59.680]   'cause I kind of cared more about like the sheep
[01:28:59.680 --> 01:29:02.280]   and the country life and the reconnecting to it.
[01:29:02.280 --> 01:29:05.000]   And there's a lot of sort of,
[01:29:05.000 --> 01:29:10.880]   it was a reminder of the sort of peak COVID anxiety
[01:29:10.880 --> 01:29:14.120]   mixed in left-wing politics of that time,
[01:29:14.120 --> 01:29:15.640]   which I don't want to revisit.
[01:29:15.640 --> 01:29:17.160]   So you're gonna get a big,
[01:29:17.160 --> 01:29:19.360]   you can get a big dose of that in that book.
[01:29:19.360 --> 01:29:25.400]   Then I read Brian Rafferty's book, "Best Movie Year Ever."
[01:29:25.400 --> 01:29:27.720]   It's a period after every word.
[01:29:27.720 --> 01:29:30.000]   It's a book about 1999.
[01:29:30.000 --> 01:29:35.080]   It was epic movie year, this famous movie year.
[01:29:35.080 --> 01:29:37.240]   All of these like really influential movies
[01:29:37.240 --> 01:29:40.060]   sort of all came out in this same year.
[01:29:40.060 --> 01:29:42.200]   And so this book basically,
[01:29:42.200 --> 01:29:44.880]   it's one of these standard kind of like movie history books.
[01:29:44.880 --> 01:29:46.720]   It just goes through movie by movie
[01:29:46.720 --> 01:29:50.840]   and you get a story about that particular movie
[01:29:50.840 --> 01:29:52.240]   before it moves on to the next.
[01:29:52.240 --> 01:29:55.200]   So if you really want to get like a deep,
[01:29:55.200 --> 01:29:58.200]   not a deep dive, but just like this capsule look at,
[01:29:58.200 --> 01:30:00.400]   I think it was something like 15 or 16 movies he covers.
[01:30:00.400 --> 01:30:02.120]   And as someone who likes movies,
[01:30:02.120 --> 01:30:02.960]   I was really interested.
[01:30:02.960 --> 01:30:04.040]   You learn a lot.
[01:30:04.040 --> 01:30:06.080]   You know, like what was going on with David Fincher
[01:30:06.080 --> 01:30:07.920]   and "Fight Club."
[01:30:07.920 --> 01:30:10.960]   What about the Wachowskis and "Matrix,"
[01:30:10.960 --> 01:30:12.920]   "The Matrix," which like came out in the same time.
[01:30:12.920 --> 01:30:15.560]   All these other different movies that were all
[01:30:15.560 --> 01:30:19.120]   American beauty, like what was happening with Sam Raimi.
[01:30:19.120 --> 01:30:21.760]   And so they could just fall into these different movies,
[01:30:21.760 --> 01:30:23.560]   these different histories.
[01:30:23.560 --> 01:30:24.680]   And it was good.
[01:30:24.680 --> 01:30:26.160]   It was good.
[01:30:26.160 --> 01:30:28.120]   I'm actually right now listening to
[01:30:28.120 --> 01:30:31.280]   kind of like the original famous book in this format,
[01:30:31.280 --> 01:30:32.440]   which is like the best one,
[01:30:32.440 --> 01:30:35.520]   which is "Easy Riders and Raging Bulls."
[01:30:35.520 --> 01:30:36.720]   I might have that backwards.
[01:30:36.720 --> 01:30:38.680]   About the '70s in movies.
[01:30:38.680 --> 01:30:39.880]   That's a real, that's "Biscayne."
[01:30:39.880 --> 01:30:41.040]   That's a real famous one.
[01:30:41.040 --> 01:30:43.880]   All right, I also finished "The Coming Wave"
[01:30:43.880 --> 01:30:47.160]   by Mustafa Suleyman, co-founder of DeepMind.
[01:30:47.160 --> 01:30:49.440]   It's kind of a wave-generating book,
[01:30:49.440 --> 01:30:50.480]   came out a year or so ago,
[01:30:50.480 --> 01:30:52.040]   where he was making his predictions
[01:30:52.040 --> 01:30:54.200]   about the future of AI and synthetic biology
[01:30:54.200 --> 01:30:55.720]   and how it was gonna have all these disruptions
[01:30:55.720 --> 01:30:56.840]   and what we can do about it.
[01:30:56.840 --> 01:30:58.840]   And there's not really much we can do about it.
[01:30:58.840 --> 01:31:02.400]   So one of these kind of prognostication books,
[01:31:02.400 --> 01:31:05.160]   because Mustafa is the co-founder of DeepMind,
[01:31:05.160 --> 01:31:06.680]   he was coming from a place of authority.
[01:31:06.680 --> 01:31:08.120]   Anyways, in my role as someone who writes
[01:31:08.120 --> 01:31:09.120]   and thinks a lot about AI,
[01:31:09.120 --> 01:31:11.920]   it was just one of these things I needed to read.
[01:31:11.920 --> 01:31:14.200]   And it's very readable.
[01:31:14.200 --> 01:31:16.280]   It kind of goes through and explains things
[01:31:16.280 --> 01:31:18.800]   and has some prognostications, a good book.
[01:31:18.800 --> 01:31:19.720]   Finally, a fun book.
[01:31:19.720 --> 01:31:21.960]   I read "Ready Player Two" by Ernst Kline.
[01:31:21.960 --> 01:31:26.080]   I actually bought this for one of my sons
[01:31:26.080 --> 01:31:27.720]   when we were dropping him off at camp.
[01:31:27.720 --> 01:31:28.560]   And I was like, "Well, I should read this
[01:31:28.560 --> 01:31:30.800]   before he gets back because I might be interested.
[01:31:30.800 --> 01:31:32.280]   Also, I should make sure it's appropriate for him."
[01:31:32.280 --> 01:31:34.640]   And it was actually, Ernst Kline is good at these books.
[01:31:34.640 --> 01:31:36.880]   "Ready Player One" and "Ready Player Two,"
[01:31:36.880 --> 01:31:38.760]   there is an interesting amount of craft in it.
[01:31:38.760 --> 01:31:40.120]   They're weird books, right?
[01:31:40.120 --> 01:31:43.360]   It's this super dense nostalgia.
[01:31:43.360 --> 01:31:46.720]   It's not the most richly drawn characters,
[01:31:46.720 --> 01:31:48.440]   and he's not a great characterization guy,
[01:31:48.440 --> 01:31:50.800]   and there's a lot of internal exposition.
[01:31:50.800 --> 01:31:53.840]   But somehow, he gets this rhythm going.
[01:31:53.840 --> 01:31:57.800]   You're in this weird, fake world, literally fake world,
[01:31:57.800 --> 01:32:01.720]   and the stakes he sets up and how it rolls forward,
[01:32:01.720 --> 01:32:04.240]   plus just the complexity and the wonder of the world,
[01:32:04.240 --> 01:32:05.960]   and it presses a lot of nostalgia buttons,
[01:32:05.960 --> 01:32:08.560]   especially if you're a millennial or an old millennial
[01:32:08.560 --> 01:32:09.400]   like I am.
[01:32:09.400 --> 01:32:12.400]   I know, it's hard to write these type of books.
[01:32:12.400 --> 01:32:13.720]   I appreciate techno-thrillers,
[01:32:13.720 --> 01:32:16.000]   and Ernst Kline has done something new
[01:32:16.000 --> 01:32:16.960]   in the world of techno-thrillers.
[01:32:16.960 --> 01:32:18.760]   So I enjoyed "Ready Player Two"
[01:32:18.760 --> 01:32:20.680]   more than I really thought I would.
[01:32:20.680 --> 01:32:24.000]   All right, so those are my seven books I read in July.
[01:32:24.000 --> 01:32:28.080]   All right, Jesse, I think that's all the time we have.
[01:32:28.080 --> 01:32:28.920]   Thank you everyone for listening.
[01:32:28.920 --> 01:32:31.240]   We'll be back next week with another episode of the show,
[01:32:31.240 --> 01:32:33.880]   and until then, as always, stay deep.
[01:32:35.280 --> 01:32:36.520]   So if you liked today's discussion
[01:32:36.520 --> 01:32:39.000]   about core productivity habits,
[01:32:39.000 --> 01:32:42.440]   you might also like episode 305,
[01:32:42.440 --> 01:32:45.320]   where I addressed the critique
[01:32:45.320 --> 01:32:47.920]   that time-block planning can seem oppressive.
[01:32:47.920 --> 01:32:49.440]   I think you will like this companion
[01:32:49.440 --> 01:32:50.520]   in today's episode.
[01:32:50.520 --> 01:32:51.560]   Check it out.
[01:32:51.560 --> 01:32:54.120]   Anyways, with great care in tact,
[01:32:54.120 --> 01:32:56.280]   Berkman admitted that time-blocking
