
[00:00:00.000 --> 00:00:04.400]   Democrats still think the currency of politics is money and the currency of politics is attention.
[03:08:01.380 --> 03:08:07.520]   To a certain extent, you look at something as fundamental or archetypal as Thomas Edison inventing the incandescent light bulb.
[03:08:07.520 --> 03:08:08.140]   What did he do?
[03:08:08.140 --> 03:08:16.160]   He just tested 10,000 different materials and figured out that actually it was like a very special kind of bamboo that burned for the right amount of time and said, boom, I did it.
[03:08:16.220 --> 03:08:18.340]   I made the incandescent light bulb.
[03:08:18.340 --> 03:08:45.600]   The ability to have a machine or accelerate the degree to which we understand what those 10,000 materials can do or synthesize knowledge so people can combine it and say, we're going to take a little bit of CRISPR over here and a little bit of cancer science over here to develop a gene therapy that targets a particular inhibitor that allows the immune system to attack a protein that is explicitly related to pancreatic cancer.
[03:08:45.600 --> 03:08:49.960]   I do absolutely believe that we might be on the doorstep of those kind of breakthroughs.
[03:08:49.960 --> 03:08:55.620]   And that makes me incredibly optimistic because I think at base, it's like, you know, what's life about?
[03:08:55.620 --> 03:08:56.500]   Right.
[03:08:56.500 --> 03:08:57.580]   What's abundance about?
[03:08:57.580 --> 03:08:59.180]   Why housing and energy?
[03:08:59.180 --> 03:09:01.360]   Well, because we think they're fundamental to living a good life.
[03:09:01.360 --> 03:09:05.440]   You need a place to live and people deserve the freedom to live where they want to live.
[03:09:06.440 --> 03:09:23.380]   Energy is what powers the entire economy and more energy would power technologies that we can't even imagine or just be getting to, whether it's supersonic flight powered by clean fuel or fusion technology that basically gives us infinite solar energy, the sun's actual energy in a particular location.
[03:09:23.920 --> 03:09:27.640]   I mean, these are beautiful things that can happen.
[03:09:27.640 --> 03:09:31.060]   But also, I think the good life is about is about health.
[03:09:31.060 --> 03:09:39.480]   It's about health and it's about the wealth that comes and the freedom that comes from from finding health in your own life.
[03:09:39.600 --> 03:09:52.600]   And I do I am incredibly optimistic that we might be at the cusp of a real golden age in taking all these little ingredients that we've spent decades on, whether it's genomics and proteomics and a little bit of AI.
[03:09:52.760 --> 03:10:05.620]   We're at the at a moment right now, I hope we can have this explosion of combinatorial intelligence and that hopefully in an optimistic way, AI could be useful in accelerating us toward that future.
[03:10:05.620 --> 03:10:10.220]   But I also think to the point of this book, we have to get institutions right, too.
[03:10:10.220 --> 03:10:17.440]   These are discoveries that are going to happen inside of institutions and how those institutions work and how they're funded.
[03:10:17.640 --> 03:10:23.640]   And the incentives that are created by law or by technology really matter in terms of the world that we build.
[03:10:23.640 --> 03:10:36.500]   And so that's why I think it's really important to not only be obsessed with what the technology can do, but how it's instantiated in the institutions that we have, because it ultimately is institutions and individuals that build the world, not technology acting on its own.
[03:10:36.500 --> 03:10:43.340]   Yeah, and I should say that you make a really great case for investing in weird science, meaning stuff that doesn't on the surface make sense.
[03:10:43.340 --> 03:11:06.360]   We said lizard venom, you know, there's all this popular criticism of scientific projects that sound like a waste of money, when in reality, at least in the scientific realm, projects that seem like they don't have any positive effect might actually end up being the ones that transform human civilization as we know it, because of the unintended discoveries that happen.
[03:11:06.360 --> 03:11:18.280]   And all the eureka moments, all the special discoveries happen, truly, when you're just passionately pursuing a cool thing in science, that's how scientific minds work.
[03:11:18.280 --> 03:11:26.920]   And so it makes sense to invest in things that, in exploring weird shit, the weird mysteries of the universe.
[03:11:27.300 --> 03:11:29.920]   So anyway, Ezra, what gives you hope?
[03:11:29.920 --> 03:11:34.540]   I'm a less temperamentally honest person than Derek, by a lot, actually.
[03:11:34.540 --> 03:11:41.160]   And I would usually give a pretty similar answer to this question that Derek gave, which is, you know, technological advancement, right?
[03:11:41.160 --> 03:11:43.120]   We live in an age of marvels.
[03:11:43.120 --> 03:11:48.580]   I guess I'll say from the realist perspective that we live in a more liquid moment than many.
[03:11:49.300 --> 03:12:01.520]   That, you know, if one of the advantages of the 90s of, you know, much of the life that I have grown up in is that much of the structure of technology of global governance was fairly stable.
[03:12:01.520 --> 03:12:10.120]   We could sort of like look at it and there were certain, not certainties, but fairly reliable guardrails of what was and what wasn't going to happen.
[03:12:10.120 --> 03:12:13.580]   And there were disruptions like 9-11 and the financial crisis.
[03:12:13.580 --> 03:12:16.400]   They weren't small and slowly they broke that entire system.
[03:12:17.360 --> 03:12:25.840]   But there, you know, I think one of the things people sort of miss, sort of feel about the way history is accelerated is that things have just all gotten faster and less predictable.
[03:12:25.840 --> 03:12:27.980]   And they really have, I think, gotten faster and less predictable.
[03:12:27.980 --> 03:12:35.660]   We're in an age, it seems to be more like the early 20th century, late 19th century than like the 1990s.
[03:12:35.660 --> 03:12:41.560]   And that means the possibilities range very widely, right?
[03:12:41.560 --> 03:12:58.980]   When you think about AI, when you think about biotech advances, when you think about energetic advances, when you think about the sort of shifting nature of global alliances, of the technological and political systems, we are in the most high variance period that I think has happened in a very, very, very long time.
[03:12:59.540 --> 03:13:02.080]   And that carries tremendous peril.
[03:13:02.080 --> 03:13:06.920]   Things could go terribly, and it carries tremendous possibility, right?
[03:13:06.920 --> 03:13:10.020]   What if AI is an incredible boon for humanity?
[03:13:10.020 --> 03:13:23.200]   What if we do invent and deploy the clean energy technologies that deliver energy abundance, not just a kind of answer to the worst of climate change, but genuine energy abundance, unlocking new things like mass desalination.
[03:13:23.200 --> 03:13:29.460]   And, you know, like what if we do, like I'm an animal suffering person, I'm a vegetarian, I care a lot about animal suffering.
[03:13:29.500 --> 03:13:41.080]   What if we did figure out cultivated meat, right, that we grow in, you know, breweries and on scaffolds, and we don't have to kill tens of billions of animals that we have raised in unimaginable suffering every single year, right?
[03:13:41.080 --> 03:13:45.480]   Like, you know, what if we do figure out how to make government better and more responsive, right?
[03:13:45.480 --> 03:13:48.760]   What if that thesis, antithesis, synthesis thing does work out?
[03:13:49.340 --> 03:13:57.560]   But it's not hope, it's like, that's a future you have to create, a future you have to call into being, a future you'll have to fight for.
[03:13:57.560 --> 03:14:13.660]   So it isn't so much that I found myself hopeful about what America or the world would be like in 2030 or 2040, but I find that I believe in the possibility of enough remarkable outcomes that it makes like the present really worth being engaged in.
[03:14:13.660 --> 03:14:24.400]   And, you know, really worth trying to, you know, do your small part to bend the arc of the time in the direction that you find more just.
[03:14:24.400 --> 03:14:42.960]   Well, thank you to both of you for fighting for abundance and writing this manifesto for abundance and for all the writing and the work you do in the podcasts and just being incredible minds in this world that I'm a fan of.
[03:14:42.960 --> 03:14:45.080]   So, uh, thank you for talking today.
[03:14:45.080 --> 03:14:46.000]   Thanks very much, Lex.
[03:14:46.000 --> 03:14:46.620]   Thanks so much.
[03:14:46.620 --> 03:14:51.260]   Thanks for listening to this conversation with Ezra Klein and Derek Thompson.
[03:14:51.260 --> 03:14:55.080]   To support this podcast, please check out our sponsors in the description.
[03:14:55.080 --> 03:14:59.320]   And now, let me leave you with some words from Napoleon Bonaparte.
[03:14:59.320 --> 03:15:04.160]   In politics, stupidity is not a handicap.
[03:15:04.160 --> 03:15:08.480]   Thank you for listening and hope to see you next time.
[03:15:08.480 --> 03:15:09.180]   Thank you.
[03:15:09.180 --> 03:15:09.180]   Thank you.
[03:15:09.180 --> 03:15:09.480]   Thank you.
[03:15:09.480 --> 03:15:10.180]   Thank you.
[03:15:10.180 --> 03:15:10.180]   Thank you.
[03:15:10.180 --> 03:15:10.180]   Thank you.
[03:15:10.180 --> 03:15:10.180]   Thank you.
[03:15:10.180 --> 03:15:10.180]   Thank you.
[03:15:10.180 --> 03:15:10.240]   Thank you.
[03:15:10.240 --> 03:15:10.940]   Thank you.
