
[00:00:00.000 --> 00:00:02.040]   The following is a conversation with Scott Horton.
[07:48:24.840 --> 07:48:30.920]   We have to disengage from Gaza. So that like, just as a ruse, right? As an optical illusion,
[07:48:30.920 --> 07:48:36.360]   we're going to make it seem as though we're kicking the Palestinians of Gaza out of
[07:48:36.360 --> 07:48:41.960]   Israeli control and jurisdiction. That way you can't say it's an apartheid state anymore.
[07:48:41.960 --> 07:48:47.000]   Now we're back more to majority rules over the minority, of course, ruthlessly, but still
[07:48:47.000 --> 07:48:53.960]   it's less worse than having a Jewish minority ruling over a Palestinian Arab Muslim and Christian
[07:48:53.960 --> 07:49:00.280]   majority. That would be less tenable, right? Was the idea. So he told Sharon this and said,
[07:49:00.280 --> 07:49:06.680]   you got to do this. And this is why he explains this to Sarah. What's her name at, um, oh,
[07:49:06.680 --> 07:49:12.840]   it was even called one-on-one it's the demography. Stupid was the original title of the thing.
[07:49:12.840 --> 07:49:17.720]   And he tells her, this is what we got to do. And then we got, we'll have to put them under siege,
[07:49:17.720 --> 07:49:22.600]   of course, and, and lock them in this cage, like animals basically. And she says, well, what do we
[07:49:22.600 --> 07:49:26.680]   expect the Palestinians to do, right? They're going to freak out and fight. And he goes, yeah,
[07:49:26.680 --> 07:49:32.680]   of course they are. But then we will just have to kill and kill and kill. We will have to just bomb
[07:49:32.680 --> 07:49:38.680]   them and bomb them and bomb them and bomb them to just keep them weak and keep them from being able
[07:49:38.680 --> 07:49:46.360]   to resist. That's it. That's where that comes from. Ariel Sharon's advisor, Arnon Soffer by Ruthie Bloom.
[07:49:46.360 --> 07:49:49.560]   I'm sorry. I said her name wrong. I thought it was Sarah something. It's Ruthie Bloom.
[07:49:49.560 --> 07:49:56.600]   And, and that's what he explains. We will just have to kill and kill and kill. Now,
[07:49:56.600 --> 07:50:04.920]   another important Ariel Sharon advisor was a guy named Dov Weisglass. And he explained to Haaretz
[07:50:04.920 --> 07:50:13.320]   that the whole point of the disengagement from Gaza is to put the peace process in formaldehyde.
[07:50:14.120 --> 07:50:22.280]   Again, dividing and conquering the Palestinians. We leave Hamas, at least ascendant at that time
[07:50:22.280 --> 07:50:33.000]   in Gaza. Then he says, we can say to the American Congress, we have no partner for peace. And he says,
[07:50:33.000 --> 07:50:40.680]   we have from the Congress and no one to talk to certificate. That says we have no one to talk to.
[07:50:41.320 --> 07:50:47.640]   And it says, we'll have no one to talk to until Gaza is Norway. See you then. And shalom.
[07:50:47.640 --> 07:50:55.880]   Okay. So for Ben Shapiro and his mina birds and mindless parroting puppets out there who believe him
[07:50:55.880 --> 07:51:02.360]   when he lies that this was the gifting to the Palestinians of independence. What it was, was it
[07:51:02.360 --> 07:51:08.360]   was a Likud scheme to divide and conquer and destroy the Palestinian people so that one day the Israelis could
[07:51:08.360 --> 07:51:13.720]   take the last of their property from them. That's what it was. And then when they put them under siege,
[07:51:13.720 --> 07:51:22.120]   you know what they said, Lex? They said, the people of the Gaza Strip are hungry, but not starving.
[07:51:22.120 --> 07:51:26.360]   And I wonder if that rings a bell in your mind where you've heard that before.
[07:51:27.960 --> 07:51:35.160]   That's what Walter Durante wrote in the New York Times about the Holodomor in the same article where he
[07:51:35.160 --> 07:51:44.440]   said, you have to break a few eggs to make an omelet. They're hungry, but not starving. Said Walter Durante
[07:51:44.440 --> 07:51:50.760]   and Ariel Sharon's men, as they inflicted a Holodomor on the people of the Gaza Strip.
[07:51:52.440 --> 07:51:58.360]   That's again, you know, for the cognitive dissonance, they're like, well, why are we doing this then?
[07:51:58.360 --> 07:52:05.000]   Again, it's the lobby. It's the compromise of the American political system. But if your dissonance
[07:52:05.000 --> 07:52:10.840]   is telling you it can't be that bad, your dissonance is wrong. Yes, it can too. That's exactly how they
[07:52:10.840 --> 07:52:16.840]   are. And because Americans, we, we're Westerners. We have a different tradition. I mean, we were all,
[07:52:16.840 --> 07:52:22.600]   even in government school, they teach us that every man is born equal, not in every way, but in terms of
[07:52:22.600 --> 07:52:30.280]   our rights that we possess to own our own life and control our own destiny. That's what we believe.
[07:52:30.280 --> 07:52:37.880]   You know what? Myr Kahane, the rabbi that was Al Qaeda's first target in New York city in 1990 in the
[07:52:37.880 --> 07:52:45.960]   United States. He gave an interview to Mike Wallace in the late 1970s, where he complains that American
[07:52:45.960 --> 07:52:55.160]   Jews believe in all this Thomas Jefferson crap. Well, we don't. It's us versus our enemies. We will destroy
[07:52:55.160 --> 07:53:04.520]   them. Now that was considered fascism by the Israeli Supreme Court. Then that is the Likud party doctrine.
[07:53:04.520 --> 07:53:14.280]   Now every Arab Palestinian Muslim and Christian must be killed and or forcibly removed from the last of the 22%
[07:53:15.080 --> 07:53:21.240]   of measly stinking what's left of historic Palestine there. I think what's happening in Gaza
[07:53:21.240 --> 07:53:34.200]   is absolutely horrific. And I think the US government should not be supporting that in any way. So how can we end it?
[07:53:34.200 --> 07:53:42.200]   So on October 7th, let's rewind from October 7th. Why did we do the Abraham Accords under
[07:53:42.200 --> 07:53:49.400]   Trump's first term? We did the Abraham Accords because Saudi Arabia especially and the other Sunni Arab
[07:53:49.400 --> 07:53:57.080]   kingdoms had always promised that they would refuse to officially normalize relations with Israel until the
[07:53:57.080 --> 07:54:03.640]   Palestinians got the Palestinians got a deal either an independent state of their own or equal rights and citizenship in a single state.
[07:54:03.640 --> 07:54:08.760]   Now what Jared Kushner figured out was well, we can just print money. So what's your price?
[07:54:10.120 --> 07:54:19.480]   And so what he did was he bought F-16s for Bahrain, F-35s for UAE, debt forgiveness for Sudan.
[07:54:19.480 --> 07:54:27.960]   And they made a deal with Morocco that they would recognize Morocco's illegal invasion and seizure of the northern half of the nation of Western Sahara.
[07:54:29.000 --> 07:54:37.080]   And then that would be essentially these countries' bribes to normalize relations with Israel. And they were working on Saudi Arabia.
[07:54:37.080 --> 07:54:45.240]   Now, on September the 22nd, 2023, Benjamin Netanyahu gave a speech before the UN General Assembly.
[07:54:45.240 --> 07:54:50.520]   You know, like he likes to do with his visual aids. This time he held up a map of the Middle East,
[07:54:50.520 --> 07:54:54.920]   with a big red arrow across from Israel to the Sunni Arab states of the Gulf.
[07:54:54.920 --> 07:55:01.000]   And he said, "This is the new Middle East." Well, that was an inside joke. He was mocking Shimon
[07:55:01.000 --> 07:55:09.320]   Perez because Shimon Perez said, "We got to deal with Arafat and the PLO, Fatah, and deal with a pseudo-Palestinian
[07:55:09.320 --> 07:55:14.440]   state at least. Then we can make peace with the Sunni Arab states and have a new Middle East."
[07:55:14.440 --> 07:55:21.800]   So Netanyahu was up there crowing that under the Netanyahu doctrine, he got the new Middle East without
[07:55:21.800 --> 07:55:27.160]   giving in to the Palestinians in any way. Now, of course, he frames it like, "Oh, the Palestinians
[07:55:27.160 --> 07:55:33.160]   have been holding peace hostage." When what he's really saying to them is, "Y'all are screwed now,
[07:55:33.160 --> 07:55:40.600]   boy. Ain't nobody coming for you. I gotcha. You never get in a state of your own, an independence,
[07:55:40.600 --> 07:55:45.720]   and you never get in citizenship. You're going to live in those concentration camps of yours until you're
[07:55:45.720 --> 07:55:54.120]   dead and we're done taking them from you. I win, you lose." That was his speech of September 22nd, 2003.
[07:55:54.120 --> 07:56:01.720]   Two weeks later, Hamas broke out of their pen and launched the October 7th attack. And they did kill
[07:56:01.720 --> 07:56:06.840]   probably a thousand people as the Israelis killed at least dozens, perhaps more than a hundred of their
[07:56:06.840 --> 07:56:13.720]   own people by invoking the Hannibal Directive. Now, you might remember the story of an Israeli soldier
[07:56:13.720 --> 07:56:21.480]   named, I think it's Eisenkot, who had been captured by Hamas and taken into the Gaza Strip back years ago.
[07:56:21.480 --> 07:56:29.000]   And the Israelis ended up having to negotiate and release a thousand Palestinian captives, not prisoners,
[07:56:29.000 --> 07:56:32.760]   because the Israelis hold them without trial, without any process whatsoever. They just kidnap them and
[07:56:32.760 --> 07:56:36.840]   hold them. So they're hostages too, these Palestinians. But they had to release a thousand
[07:56:36.840 --> 07:56:41.560]   Palestinian hostages to get their one Israeli hostage back. And they said, "Never again are we
[07:56:41.560 --> 07:56:46.760]   going to do that." So they invented a new doctrine which says if one of their soldiers or two of their
[07:56:46.760 --> 07:56:52.600]   soldiers is getting successfully captured by Hamas and taken back into the Strip, that they'll kill their
[07:56:52.600 --> 07:56:57.880]   own soldiers as well as the captors in order to prevent that from happening. They called that the
[07:56:57.880 --> 07:57:04.920]   Hannibal Directive. Well, on October the 7th, and this is all from, first of all, very astute American
[07:57:04.920 --> 07:57:15.880]   observers like Max Blumenthal, Ali Abunima, and Brad Pierce at the Wayward Rabbler. They all immediately
