
[00:00:00.000 --> 00:00:05.000]   The following is a conversation with Jack Weatherford, anthropologist and historian
[04:13:29.020 --> 04:13:36.380]   obligated to take care of one another. Anybody in your area, you take care of them. And things like
[04:13:36.380 --> 04:13:45.180]   that individuals do give me hope. People one by one or a few at a time, even though I'm lost in the
[04:13:45.180 --> 04:13:55.820]   modern world. Well, I'm glad you find your way. You mentioned that your wife is no longer with us.
[04:13:57.900 --> 04:14:00.780]   What's a favorite memory you have with her?
[04:14:00.780 --> 04:14:10.940]   Well, I could say a favorite picture is a lake we used to go to called Uginur in the middle. And
[04:14:10.940 --> 04:14:18.540]   somebody, a very nice friend, took a picture of us. Towards the end, we're just sitting there
[04:14:18.540 --> 04:14:24.300]   watching the sunset over the lake that we've been to many, many times in life. And, you know,
[04:14:24.300 --> 04:14:29.820]   she's holding—we're holding hands. She's in the chair paralyzed. And we're just sitting there
[04:14:29.820 --> 04:14:34.700]   staring off in the distance, you know. And that's one of my favorites. But
[04:14:34.700 --> 04:14:45.980]   with my wife, I was just blessed with a good wife that was exciting. She was the most beautiful woman I
[04:14:45.980 --> 04:14:51.660]   had ever met in my whole life. She was smart. She would talk to people about anything. She talked about
[04:14:51.660 --> 04:14:59.340]   jazz or physics or art. I mean, my life is so small and narrow. But my wife, she's the one who
[04:14:59.340 --> 04:15:07.660]   gave me a life. The truth is very odd. People don't believe sometimes. I failed English in college.
[04:15:07.660 --> 04:15:13.900]   I barely got in college. Nobody in my family. I'd grown up with my grandparents mostly countryside,
[04:15:13.900 --> 04:15:17.660]   and they had third grade education. My father had seventh grade. I went to live with him
[04:15:18.540 --> 04:15:25.500]   after the grandparents died and my mother. There was no big education there in the family. But I
[04:15:25.500 --> 04:15:30.220]   somehow got to college. My father told me to go. He didn't want me to go to the war in Vietnam,
[04:15:30.220 --> 04:15:36.140]   so he volunteered to go because there was the rule that they couldn't send two people from one family
[04:15:36.140 --> 04:15:41.180]   against their will. That was mainly designed to protect brothers. But he could go as the father,
[04:15:41.180 --> 04:15:46.940]   and then I could go to college. So I got to college and I can't say, "Oh, I was drinking and having a
[04:15:46.940 --> 04:15:53.820]   party and not serious." No. I was trying like hell to pass that course. I failed English. I failed it.
[04:15:53.820 --> 04:16:00.460]   And this was just a huge shame to me. In fact, after one year, I was put on probation to be kicked out of
[04:16:00.460 --> 04:16:08.300]   the school. My grades were so low overall. So it took me a long time to confess this to my wife after
[04:16:08.300 --> 04:16:16.140]   we met. I met her. I briefly had known her in high school, but just not well or anything. But anyway,
[04:16:16.140 --> 04:16:23.340]   we met later, and I told her, and she just looked at me. She said, "What does a professor know? It's just a
[04:16:23.340 --> 04:16:28.940]   professor. You can write anything you want." And she had the power to make me believe everything she
[04:16:28.940 --> 04:16:34.380]   said. I don't care what she said, I would believe it. And I would say, "Yeah, that's right. That's just a
[04:16:34.380 --> 04:16:44.860]   professor." And she inspired me, but she supported me all the way through graduate school. She was taking
[04:16:44.860 --> 04:16:50.300]   some courses of her own and she was doing graduate work, but she inspired me. But she told me,
[04:16:51.820 --> 04:16:56.220]   I said, "I want to write for more people than just for other scholars. I've done this dissertation,
[04:16:56.220 --> 04:17:06.220]   a PhD, and it's just dry as the Gobi Desert." And I didn't know what to do. And she said,
[04:17:06.220 --> 04:17:13.340]   "Just tell the story to me, but I can't see you while you tell it. You're on the radio,
[04:17:13.340 --> 04:17:20.220]   and I'm listening in my car driving somewhere. Just tell the story to me." And to this day,
[04:17:20.220 --> 04:17:28.700]   almost every word I write has always just tell the story to her the way that she would like it. And
[04:17:28.700 --> 04:17:36.700]   I always read the books to her. Even she couldn't comprehend too much, but she just loved hearing
[04:17:36.700 --> 04:17:47.260]   the book because it was mine. And in the last years of her life, I gave up the teaching. And we went back to
[04:17:47.260 --> 04:17:53.340]   our original home in South Carolina and I said, "Okay, we're just going to live here and watch the ocean and do
[04:17:53.340 --> 04:18:00.620]   things like that and just be worthless teenagers." And my wife used to have episodes of clarity.
[04:18:01.900 --> 04:18:06.620]   And she said, "I have no idea what caused it. It might be two hours. It might be seven or eight hours."
[04:18:06.620 --> 04:18:13.180]   And we would talk a lot. And so, one time she said to me, she said,
[04:18:16.380 --> 04:18:22.780]   "This disease is going to take my life, but it's taking your life." She said, "You gave up teaching
[04:18:22.780 --> 04:18:27.820]   and you gave up writing." And she said, "How do you expect me to die
[04:18:27.820 --> 04:18:34.140]   in peace if I know that you gave up everything to this disease?"
[04:18:36.540 --> 04:18:45.580]   She said, "You should write." And so, every single day, we sat together by the window. I moved it into
[04:18:45.580 --> 04:18:52.220]   the dining room overlooking the water. We sat there at the desk and she sat in a wheelchair next to me.
[04:18:52.220 --> 04:18:57.340]   And sometimes we would play a little soft music in the background a little bit. And for the most part,
[04:18:57.340 --> 04:19:04.460]   she couldn't talk. But she liked to just sit there beside me working. And she knew that she was the
[04:19:04.460 --> 04:19:13.020]   inspiration. She knew. She was the battery that kept me going, you know? How on earth
[04:19:13.020 --> 04:19:16.940]   I ever had a wife like that, I don't know.
[04:19:16.940 --> 04:19:19.980]   That's beautiful, Jack. That's really beautiful.
[04:19:19.980 --> 04:19:27.020]   You know, I just hit the jackpot with her. And I see so many people that get
[04:19:27.020 --> 04:19:35.420]   by and they even like each other or they're friends or something. But in my life, there was one person.
[04:19:35.420 --> 04:19:39.900]   I love my children. I still do. I love my grandchildren, even though I don't understand them.
[04:19:39.900 --> 04:19:50.220]   But there's one person in my life, and that was my wife. For 44 years, and her funeral was on our
[04:19:50.220 --> 04:19:56.940]   anniversary. I mean, that's just the way life works out, you know? But I was very lucky, very lucky.
[04:19:56.940 --> 04:20:03.500]   - If the two of you lived and met a few centuries ago,
[04:20:03.500 --> 04:20:07.420]   I might be reading a history book about you conquering.
[04:20:07.420 --> 04:20:08.620]   - No, no, no.
[04:20:08.620 --> 04:20:11.900]   - And if she said, you know, you should do this.
[04:20:11.900 --> 04:20:15.580]   - If she said it, I probably would have believed it.
[04:20:15.580 --> 04:20:17.340]   - Exactly, exactly.
[04:20:17.340 --> 04:20:26.540]   - She was too busy enjoying the world, you know? And in her final, I could not ask her questions,
[04:20:26.540 --> 04:20:30.620]   and I would not say, "Oh, you remember that?" No, I never would say that because I knew she couldn't
[04:20:30.620 --> 04:20:39.660]   remember. But when she was being restless or something in the night, I used to recite scenes from our life,
[04:20:39.660 --> 04:20:42.380]   and just give the scene without saying, "Do you remember?"
[04:20:42.380 --> 04:20:47.180]   But the last night, I certainly didn't know that she was going, but it was a rough night.
[04:20:47.180 --> 04:20:54.940]   And we went back to the first night that we had in Moscow.
[04:20:55.820 --> 04:21:02.940]   We came in December in the winter, and the snow was so beautiful and white, and the yellow lights shining on it.
[04:21:02.940 --> 04:21:08.300]   And then the most beautiful night, we went to the Bolshoi.
[04:21:09.260 --> 04:21:17.580]   And she had this elegant blue wool coat from her grandmother from the 1920s with a huge,
[04:21:17.580 --> 04:21:27.340]   it's so ironic, it was a blue wolf, but it's gray-blue, like the Mongol hens, gray-blue collar,
[04:21:27.340 --> 04:21:33.340]   this huge collar. She just looked like a movie star from the '20s or something. And we went to see
[04:21:33.340 --> 04:21:38.860]   Maya Plisetskaya, and it was one of the most beautiful nights. But
[04:21:38.860 --> 04:21:48.860]   her last night, I told her that story again, of all the details. I'd gone through it many times,
[04:21:48.860 --> 04:21:53.900]   but her coat from her grandmother, whom she loved very much, and the snow and the yellow lights,
[04:21:53.900 --> 04:21:59.900]   and we arrived at night, because of course the flight was late. And then the next night,
[04:21:59.900 --> 04:22:04.140]   going to the Bolshoi, and all those beautiful things from Russia.
[04:22:06.780 --> 04:22:12.460]   So that was it. She was an inspiration. I have many, many nights, or many days of
[04:22:12.460 --> 04:22:13.580]   great memories, you know.
[04:22:13.580 --> 04:22:14.780]   You're going to make me cry, Jack.
[04:22:14.780 --> 04:22:15.580]   Oh, no.
[04:22:15.580 --> 04:22:18.460]   That was beautiful. You're a beautiful human being.
[04:22:18.460 --> 04:22:27.260]   It's really an honor to talk to you. This was such a fascinating journey through human history,
[04:22:27.260 --> 04:22:29.980]   about one of the most impactful humans in human history.
[04:22:29.980 --> 04:22:36.460]   Well, I thank you very much. And the amount of research, when I realized how much research you had
[04:22:36.460 --> 04:22:40.620]   done, I felt like you're going to know things I don't know, and you're going to trick me and pull
[04:22:40.620 --> 04:22:43.900]   something out. And I'm going to be shamed in front of the whole world.
[04:22:43.900 --> 04:22:49.820]   There's only one piece of research left. It's me going to Mongolia and riding there on the step.
[04:22:49.820 --> 04:22:56.620]   I will. Thank you so much for talking today, Jack.
