
[00:00:00.000 --> 00:00:02.320]   I hate affirmative action.
[03:08:56.960 --> 03:09:01.000]   I just see that that broke open the possibility of that.
[03:09:01.000 --> 03:09:02.560]   That's not even a discussion.
[03:09:02.560 --> 03:09:05.960]   And that example by itself, I mean, to me,
[03:09:05.960 --> 03:09:08.760]   the role of the president isn't just policy,
[03:09:08.760 --> 03:09:13.760]   it's to inspire, it's to do the Dr. King thing,
[03:09:13.760 --> 03:09:16.780]   which is, I have a dream.
[03:09:16.780 --> 03:09:19.480]   And Barack Obama is an example of somebody
[03:09:19.480 --> 03:09:21.240]   that could give one hell of a speech.
[03:09:21.240 --> 03:09:23.840]   It got you to believe.
[03:09:23.840 --> 03:09:26.880]   - Obama is a smooth operator without any question.
[03:09:26.880 --> 03:09:28.400]   He's a master of his craft.
[03:09:28.400 --> 03:09:30.760]   He did the impossible.
[03:09:30.760 --> 03:09:34.240]   I mean, he beat Hillary Clinton in that primary fight,
[03:09:34.240 --> 03:09:37.960]   and he beat John McCain in that general election,
[03:09:37.960 --> 03:09:39.100]   and hats off to him.
[03:09:39.100 --> 03:09:43.080]   And moreover, he remains a iconic figure
[03:09:43.080 --> 03:09:43.920]   in American culture.
[03:09:43.920 --> 03:09:46.120]   I don't think there's any doubt about that.
[03:09:46.120 --> 03:09:50.080]   Let me just mention, Clarence Thomas is also black.
[03:09:50.080 --> 03:09:56.000]   Clarence Thomas has a story that is vivid and inspiring,
[03:09:56.000 --> 03:09:57.400]   just like Obama's story.
[03:09:57.400 --> 03:10:00.060]   He overcome obstacles, just like Obama did.
[03:10:00.060 --> 03:10:02.620]   I mean, extreme poverty and so forth and so on.
[03:10:02.620 --> 03:10:07.260]   Clarence Thomas has served longer than any other member
[03:10:07.260 --> 03:10:09.420]   of the United States Supreme Court.
[03:10:09.420 --> 03:10:13.160]   He is one of nine justices,
[03:10:13.160 --> 03:10:15.620]   and it's three equal branches of government.
[03:10:15.620 --> 03:10:18.360]   So Clarence Thomas, by my arithmetic,
[03:10:18.360 --> 03:10:22.520]   personifies 1/27 of the American state.
[03:10:22.520 --> 03:10:28.680]   He is an iconic figure.
[03:10:28.680 --> 03:10:31.960]   His example should be an inspiration
[03:10:31.960 --> 03:10:33.860]   to Americans of all races,
[03:10:33.860 --> 03:10:36.380]   but especially of black American youngsters.
[03:10:36.380 --> 03:10:38.880]   He happens to be conservative.
[03:10:38.880 --> 03:10:40.080]   He's very conservative.
[03:10:40.080 --> 03:10:42.460]   So fucking what?
[03:10:43.680 --> 03:10:46.520]   He too deserves to be in that pantheon.
[03:10:46.520 --> 03:10:47.820]   He is not.
[03:10:47.820 --> 03:10:50.800]   By the custodians of American education,
[03:10:50.800 --> 03:10:53.160]   Clarence Thomas's name is not on that many schools.
[03:10:53.160 --> 03:10:55.240]   Barack Obama's name will be on many of them.
[03:10:55.240 --> 03:10:56.520]   I'm not equating them.
[03:10:56.520 --> 03:10:57.440]   They're different people.
[03:10:57.440 --> 03:10:59.520]   The offices are very different.
[03:10:59.520 --> 03:11:01.960]   But the same logic that you just used
[03:11:01.960 --> 03:11:06.960]   to extol the significance of Barack Obama's ascendancy
[03:11:06.960 --> 03:11:10.220]   could and should be applied to Clarence Thomas,
[03:11:10.220 --> 03:11:12.000]   in my opinion.
[03:11:12.000 --> 03:11:15.400]   - Yes, but it's the office,
[03:11:15.400 --> 03:11:20.400]   but also there's a resume and there's accomplishments,
[03:11:20.400 --> 03:11:23.620]   but then there is oratory and charisma
[03:11:23.620 --> 03:11:25.460]   and a number of Twitter followers.
[03:11:25.460 --> 03:11:30.380]   So there's ability to captivate a large number of people.
[03:11:30.380 --> 03:11:33.120]   And that's a skill.
[03:11:33.120 --> 03:11:35.840]   That's a skill that correlates,
[03:11:35.840 --> 03:11:38.760]   but is not directly connected to
[03:11:38.760 --> 03:11:40.840]   with how impressive your resume is.
[03:11:40.840 --> 03:11:41.680]   - I agree.
[03:11:41.680 --> 03:11:43.120]   - However, the judicial function,
[03:11:43.120 --> 03:11:45.400]   the judge doesn't go out and give speeches of that sort
[03:11:45.400 --> 03:11:48.240]   because it's exactly antithetical to what he's doing.
[03:11:48.240 --> 03:11:50.360]   He's a custodian of the law
[03:11:50.360 --> 03:11:54.760]   and that's not a popular figure in American policy.
[03:11:54.760 --> 03:11:57.720]   He doesn't stand for election and it's a good thing too.
[03:11:57.720 --> 03:11:59.720]   So I take that point.
[03:11:59.720 --> 03:12:02.320]   Here, I wanna say something else though that's provocative.
[03:12:02.320 --> 03:12:03.720]   The next black president,
[03:12:03.720 --> 03:12:05.280]   you say the first black president
[03:12:05.280 --> 03:12:06.960]   shouldn't have been the one to do that.
[03:12:06.960 --> 03:12:08.480]   The second one should,
[03:12:08.480 --> 03:12:10.520]   is more likely than not gonna be a Republican.
[03:12:10.520 --> 03:12:12.400]   I don't have a particular person in mind.
[03:12:12.400 --> 03:12:13.240]   I'm just saying.
[03:12:13.240 --> 03:12:14.320]   - I agree.
[03:12:14.320 --> 03:12:15.160]   I agree.
[03:12:15.160 --> 03:12:15.980]   (laughing)
[03:12:15.980 --> 03:12:16.820]   I agree.
[03:12:16.820 --> 03:12:17.660]   (laughing)
[03:12:17.660 --> 03:12:19.560]   And that's why it's gonna be super fun.
[03:12:19.560 --> 03:12:25.400]   Let me ask you to put on your wise sage hat
[03:12:25.400 --> 03:12:27.560]   and give advice to young people.
[03:12:27.560 --> 03:12:28.960]   So if you're talking to somebody
[03:12:28.960 --> 03:12:31.080]   who's in high school and in college,
[03:12:31.080 --> 03:12:34.320]   what advice would you give them about their career,
[03:12:34.320 --> 03:12:37.320]   about life in general,
[03:12:37.320 --> 03:12:39.360]   how to live a life they can be proud of?
[03:12:40.200 --> 03:12:44.160]   - Well, I'd say the world is your oyster.
[03:12:44.160 --> 03:12:46.000]   I mean, first order of business, you're not a victim.
[03:12:46.000 --> 03:12:47.040]   I don't care what color you are.
[03:12:47.040 --> 03:12:48.680]   I don't care you're male, female, you're gay, straight,
[03:12:48.680 --> 03:12:51.240]   whatever, the world is your oyster.
[03:12:51.240 --> 03:12:52.320]   You are so privileged.
[03:12:52.320 --> 03:12:54.040]   You sit here in the United States of America,
[03:12:54.040 --> 03:12:55.320]   a free country, a rich country,
[03:12:55.320 --> 03:12:56.820]   everything is possible for you.
[03:12:56.820 --> 03:12:58.660]   Believe me, you can do anything.
[03:12:58.660 --> 03:13:05.680]   Secondly, I would say mastery over the medium
[03:13:07.040 --> 03:13:11.800]   in which we're embedded is the key to the future.
[03:13:11.800 --> 03:13:15.420]   So get educated, focus, work hard,
[03:13:15.420 --> 03:13:21.160]   invest in your future by acquiring the skills
[03:13:21.160 --> 03:13:23.980]   that you need to be able to navigate the 21st century.
[03:13:23.980 --> 03:13:28.520]   I would say the Chinese are coming
[03:13:28.520 --> 03:13:30.340]   and I don't mean anything against China.
[03:13:30.340 --> 03:13:32.200]   I just mean to say the world's a small place
[03:13:32.200 --> 03:13:34.520]   and it's getting smaller.
[03:13:34.520 --> 03:13:39.520]   And you better get moving and you better get moving quickly.
[03:13:39.520 --> 03:13:47.360]   I'd say your identity, your coloration, your orientation,
[03:13:47.360 --> 03:13:52.360]   your category is not the most important thing about you.
[03:13:52.360 --> 03:14:00.960]   So the temptation to limit yourself,
[03:14:00.960 --> 03:14:03.120]   I give this speech to my kids.
[03:14:03.120 --> 03:14:08.120]   I would say, I quote James Joyce.
[03:14:08.120 --> 03:14:15.760]   He has a passage in "Portrait of an Artist as a Young Man"
[03:14:15.760 --> 03:14:21.180]   in which he says, "Do you know what Ireland is?
[03:14:21.180 --> 03:14:26.960]   Ireland is an old sow that eats her pharaoh."
[03:14:26.960 --> 03:14:28.920]   This is Joyce.
[03:14:28.920 --> 03:14:32.680]   He says, Stephen Dedalus is the character
[03:14:32.680 --> 03:14:35.320]   that he has in mind in this chronicle.
[03:14:35.320 --> 03:14:39.920]   He says, "Your ethnic inheritance,"
[03:14:39.920 --> 03:14:42.020]   he's talking about Irish nationalism,
[03:14:42.020 --> 03:14:46.280]   "are like nets holding you back.
[03:14:46.280 --> 03:14:49.760]   That your challenge is to learn how to turn those nets
[03:14:49.760 --> 03:14:53.520]   into wings and thereby to fly."
[03:14:53.520 --> 03:14:58.200]   Okay, flying into the open skies of modern society.
[03:14:58.200 --> 03:15:02.520]   Don't be your grandfather, don't be your father.
[03:15:02.520 --> 03:15:04.400]   Don't wear your thing so heavily
[03:15:04.400 --> 03:15:06.000]   that it keeps you from being open
[03:15:06.000 --> 03:15:08.700]   to everything that's new in the world.
[03:15:08.700 --> 03:15:10.540]   Wear it lightly.
[03:15:10.540 --> 03:15:12.240]   Yes, everybody comes from somewhere,
[03:15:12.240 --> 03:15:14.400]   but it doesn't have to be where you end up.
[03:15:14.400 --> 03:15:18.540]   So you're not your father, you're not your grandfather.
[03:15:18.540 --> 03:15:24.960]   You are this wonderfully blessed human being
[03:15:24.960 --> 03:15:28.460]   in the middle of, going into the middle of the 21st century.
[03:15:28.460 --> 03:15:32.440]   And don't miss it.
[03:15:32.440 --> 03:15:37.440]   Don't live blinkerly, don't live small, live big.
[03:15:37.440 --> 03:15:46.080]   Live big and wear your history lightly.
[03:15:46.080 --> 03:15:51.320]   Yeah, everybody's got a mother tongue.
[03:15:51.320 --> 03:15:54.400]   Everybody's got a story, everybody has a people.
[03:15:54.400 --> 03:15:56.720]   But the world is a small place.
[03:15:56.720 --> 03:16:01.920]   I love that you're quoting an Irishman.
[03:16:02.440 --> 03:16:03.480]   (laughing)
[03:16:03.480 --> 03:16:05.720]   One of the greatest writers of the 20th century,
[03:16:05.720 --> 03:16:09.520]   a profound one, but an Irishman nevertheless.
[03:16:09.520 --> 03:16:14.480]   The levels of humor within that is not lost on me.
[03:16:14.480 --> 03:16:16.920]   Let me just mention the great Ralph Ellison,
[03:16:16.920 --> 03:16:19.280]   the African-American writer, "Invisible Man"
[03:16:19.280 --> 03:16:23.920]   is his masterpiece, embodied this spirit.
[03:16:23.920 --> 03:16:26.720]   Okay, we black Americans, we do come from somewhere,
[03:16:26.720 --> 03:16:29.760]   that coming from somewhere is from slavery in America.
[03:16:29.760 --> 03:16:32.840]   That's our ancestral heritage.
[03:16:32.840 --> 03:16:35.040]   But that's not what we are.
[03:16:35.040 --> 03:16:40.040]   Skin and bone, these are superficial things, the spirit.
[03:16:40.040 --> 03:16:41.840]   And if I were a more religious person,
[03:16:41.840 --> 03:16:44.160]   I could give a whole disposition about that.
[03:16:44.160 --> 03:16:46.260]   But it's the spirit, it's that light that's inside.
[03:16:46.260 --> 03:16:47.400]   That's who we are.
[03:16:47.400 --> 03:16:50.760]   And our challenge is to live in the fullness of it,
[03:16:50.760 --> 03:16:53.440]   as opposed to this blinkered thing.
[03:16:53.440 --> 03:16:55.200]   When we don't look left, we don't look right.
[03:16:55.200 --> 03:16:58.340]   We're just fitting within this template
[03:16:58.340 --> 03:17:02.760]   that we inherit, that is a travesty, really.
[03:17:02.760 --> 03:17:06.120]   - Glenn, you've lived an incredible life,
[03:17:06.120 --> 03:17:09.080]   a productive one, but just representing
[03:17:09.080 --> 03:17:13.240]   some powerful ideas, some powerful ideals.
[03:17:13.240 --> 03:17:15.900]   But life comes to an end.
[03:17:15.900 --> 03:17:18.440]   - Yeah.
[03:17:18.440 --> 03:17:20.920]   - Do you think about your death?
[03:17:20.920 --> 03:17:21.960]   Are you afraid of it?
[03:17:24.100 --> 03:17:29.100]   - Well, it is a really interesting coincidence
[03:17:29.100 --> 03:17:31.680]   that you posed me that question,
[03:17:31.680 --> 03:17:35.100]   because I'm coming from a funeral.
[03:17:35.100 --> 03:17:40.200]   Today is Sunday.
[03:17:40.200 --> 03:17:43.400]   On the preceding Tuesday, five days ago,
[03:17:43.400 --> 03:17:48.180]   I was at the funeral of Eugene Wesley Smith,
[03:17:48.180 --> 03:17:51.640]   who was my brother-in-law.
[03:17:51.640 --> 03:17:53.620]   He was my sister's husband.
[03:17:54.600 --> 03:17:59.600]   My sister, Leonette, passed away in August of 2021.
[03:17:59.600 --> 03:18:04.760]   Her husband has died at the age of 68
[03:18:04.760 --> 03:18:10.980]   in April of 2022, and I was at his funeral.
[03:18:10.980 --> 03:18:14.140]   He died suddenly of a heart attack
[03:18:14.140 --> 03:18:15.640]   that came completely out of the blue.
[03:18:15.640 --> 03:18:17.340]   He seemed to be in perfect health.
[03:18:17.340 --> 03:18:20.420]   He was a magnificent human being.
[03:18:20.420 --> 03:18:22.580]   I could go into the details, but, you know.
[03:18:23.400 --> 03:18:24.600]   Take my word for it.
[03:18:24.600 --> 03:18:29.140]   He was a businessman, a steel trader, metals trader.
[03:18:29.140 --> 03:18:30.900]   He would buy and sell.
[03:18:30.900 --> 03:18:32.720]   He worked mostly from his home office.
[03:18:32.720 --> 03:18:35.240]   He had clients, counterparties,
[03:18:35.240 --> 03:18:37.580]   people he did business with all over the world.
[03:18:37.580 --> 03:18:44.140]   He had three sons, one of whom is in his early 30s,
[03:18:44.140 --> 03:18:45.800]   two of whom are in their late 30s.
[03:18:45.800 --> 03:18:48.040]   These are my sister's children.
[03:18:48.040 --> 03:18:50.520]   She's deceased, now he's deceased.
[03:18:50.520 --> 03:18:54.540]   The older two sons are severely developmentally disabled,
[03:18:54.540 --> 03:18:57.420]   and although they're in their late 30s,
[03:18:57.420 --> 03:18:59.900]   they're not independently viable.
[03:18:59.900 --> 03:19:02.040]   They don't function effectively.
[03:19:02.040 --> 03:19:03.340]   They have to be cared for.
[03:19:03.340 --> 03:19:08.280]   That responsibility has now fallen to the family,
[03:19:08.280 --> 03:19:10.960]   but mainly to the surviving son,
[03:19:10.960 --> 03:19:14.100]   who lives with his wife and his two young children,
[03:19:14.100 --> 03:19:17.100]   and has assumed the responsibility.
[03:19:17.100 --> 03:19:20.500]   They've cared at home, my sister and her husband, Wesley.
[03:19:20.500 --> 03:19:22.400]   Eugene Wesley Smith,
[03:19:22.400 --> 03:19:25.000]   cared for their disabled sons at home.
[03:19:25.000 --> 03:19:26.720]   They didn't wanna see them institutionalized.
