
[00:00:00.000 --> 00:00:05.660]   Humans are by far the hardest part of computer graphics because millions of years of evolution
[03:59:06.360 --> 03:59:12.900]   seeking to compete, especially underdogs seeking to compete, have to offer some unique
[03:59:12.900 --> 03:59:16.280]   value, have to offer something that's not available through the competitors.
[03:59:16.280 --> 03:59:20.700]   And I get that Steam users who just prefer using Steam and buying games on Steam and want
[03:59:20.700 --> 03:59:24.560]   to have the library in one place don't like this, but you're never going to have competition
[03:59:24.560 --> 03:59:30.400]   for better deals if you don't support the competitive mechanisms that allow competitors to come about.
[03:59:30.400 --> 03:59:34.920]   I mean, I think if Valve were forced through Epic Games Tour's success to compete with Epic
[03:59:34.920 --> 03:59:37.200]   Games Tour, then developers would be getting a better deal.
[03:59:37.200 --> 03:59:39.280]   Consumers would be getting a better deal.
[03:59:39.280 --> 03:59:42.460]   Um, and these 30% fees would be driven down quite a lot.
[03:59:42.500 --> 03:59:46.180]   Um, towards the actual costs that are required to support the stores.
[03:59:46.180 --> 03:59:46.700]   Yeah.
[03:59:46.700 --> 03:59:48.780]   I mean, there's a lot to be said there.
[03:59:48.780 --> 03:59:57.440]   Uh, you know, I've gotten to watch Spotify try to do this with podcasts, you know, enter
[03:59:57.440 --> 04:00:02.960]   as the underdog into the space and try to attract, you know, they made exclusive deals with, uh,
[04:00:02.960 --> 04:00:08.040]   for example, with Joe Rogan, where the podcast would only be published on Spotify.
[04:00:08.880 --> 04:00:16.460]   I personally think long-term, what I would love to see for EGS, for Epic Games Tour is to not
[04:00:16.460 --> 04:00:17.560]   do any exclusivity.
[04:00:17.560 --> 04:00:22.800]   Similar to what Spotify is doing now, even with Joe Rogan, they let go.
[04:00:22.800 --> 04:00:24.180]   It's open, wide open.
[04:00:24.560 --> 04:00:33.000]   And instead compete on the space of just, uh, the non-clunkiness of the interface.
[04:00:33.000 --> 04:00:43.400]   Because the foundation of what, uh, Epic Games Tour represent with 12%, it's just philosophically.
[04:00:43.660 --> 04:00:48.840]   So you're also competing on the sort of spiritual realm of, like, what it stands for ethically.
[04:00:48.840 --> 04:00:52.380]   That's also a really powerful way to win.
[04:00:52.380 --> 04:01:00.420]   So now that there's enough, uh, number of people using Epic Games Tour, like, to drift away, to
[04:01:00.420 --> 04:01:05.260]   move away from exclusivity, it's understandable that it's needed for the competition for the
[04:01:05.260 --> 04:01:07.600]   underdog to, to, to enter the scene.
[04:01:07.600 --> 04:01:14.100]   But it goes against the sort of the freedom, the, the free spirit of choice that I think
[04:01:14.100 --> 04:01:18.400]   you represent a lot of the decisions you've made, which is making the games cross-platform
[04:01:18.400 --> 04:01:25.840]   and just, yes, uh, giving freedom to the developers, giving freedom to the, to the gamers to choose.
[04:01:26.180 --> 04:01:29.360]   So in that way, I think exclusivity a little bit goes against that.
[04:01:29.360 --> 04:01:32.140]   Well, here's the conundrum.
[04:01:32.140 --> 04:01:41.220]   The exercise of soft power by all of the competing stores has made it intractable for almost any
[04:01:41.220 --> 04:01:45.220]   developer to offer a better price through the Epic Games Tour than through Steam.
[04:01:45.220 --> 04:01:51.660]   You can imagine that if, uh, the effect of Epic revenue sharing 12% to developers was that
[04:01:51.660 --> 04:01:59.340]   games just cost 22% less on Epic Games, um, sorry, 18% less on Epic Games Tour, um, that
[04:01:59.340 --> 04:02:02.020]   that would actually start to reshape consumer behavior significantly.
[04:02:02.020 --> 04:02:04.060]   People would start coming here for the better deals.
[04:02:04.060 --> 04:02:09.500]   But if, like, Steam, you know, giving developers nasty phone calls and so on when they, uh,
[04:02:09.500 --> 04:02:16.020]   propose to do that, uh, prevents developers from passing on savings to consumer, then what's the,
[04:02:16.020 --> 04:02:23.200]   what's the mechanism that drives users away from the incumbent store to the store that offers a better deal?
[04:02:23.200 --> 04:02:30.080]   So, if basically, basically developers are fearful of competing on price through stores, you know,
[04:02:30.080 --> 04:02:37.400]   what can possibly be done to get a dominant store with, you know, something like 90% of revenue share from,
[04:02:37.400 --> 04:02:45.640]   you know, among, you know, multi-publisher stores, uh, you know, in line, uh, so that, uh, a much,
[04:02:45.640 --> 04:02:46.940]   much smaller store can compete.
[04:02:47.200 --> 04:02:51.780]   I think some answer is required there, um, a better UI is great.
[04:02:51.780 --> 04:02:56.120]   Like, Steam is super polished, Epic Games Store, and, you know, time will hopefully be as polished.
[04:02:56.120 --> 04:03:03.840]   Um, you know, how, how, how does that overcome the fact that your entire library over the past 15 years is there?
[04:03:03.840 --> 04:03:08.220]   You know, if developers are, have been afraid to exercise their own economic interest,
[04:03:08.280 --> 04:03:14.160]   because it's in a developer's interest to sell on Epic and get 12, you know, you know, 18% more of the revenue.
[04:03:14.160 --> 04:03:19.080]   Uh, you know, I think there's a real power to incumbents.
[04:03:19.080 --> 04:03:24.420]   It's very hard to overcome, uh, for just being there and being as good.
[04:03:24.980 --> 04:03:47.900]   Ultimately, where I hope it converges to is less exclusivity, and where the competition can be the kind I love the most, which is on the UI, on the experience, and then on the Steam side, on the 12%.
[04:03:47.900 --> 04:03:55.980]   So it can go from 30% and start to support the developer by lowering it from 30% closer to 12%.
[04:03:55.980 --> 04:04:05.620]   Anyway, I'm a big supporter, and I don't like the criticism of Epic Games Store, but I also have to say that I don't love the exclusivity.
[04:04:05.620 --> 04:04:25.000]   But I understand the reality of the world is that you have to have some mechanism to get people to switch, or not to switch, but to at least get some of their games to try out, to experience, to allocate some of their library to the underdog.
[04:04:25.000 --> 04:04:29.080]   So I totally understand, and hope the UI keeps improving.
[04:04:29.080 --> 04:04:30.920]   Thanks.
[04:04:30.920 --> 04:04:40.240]   One more bit on that exclusivity point is that when we told Google that we were going to launch Fortnite outside of Google Play and go into competition with them,
[04:04:41.240 --> 04:04:57.660]   they viewed exclusivity as such a powerful competitive force that they went around to the top 30 publishers and paid out hundreds of millions of dollars to them in order to agree not to do exclusive deals with competitors.
[04:04:58.960 --> 04:05:04.660]   And that was called Project HUG, H-U-G, hold developers close.
[04:05:04.660 --> 04:05:05.600]   Yeah.
[04:05:05.600 --> 04:05:15.740]   And that was one of the major pieces of evidence on which the jury found their practices to be illegal and anti-competitive.
[04:05:15.740 --> 04:05:21.400]   And the one more data point on that, you know, we talk about 30%, and there's always a lot of people defending Steam.
[04:05:21.400 --> 04:05:23.880]   Well, of course, they have more costs because they have more features than Epic.
[04:05:23.880 --> 04:05:26.800]   We have data on that that's very detailed.
[04:05:27.020 --> 04:05:37.920]   The all-in cost of operating the Google Play Store, stocking it, maintaining it, the software, the entire ecosystem, is around 6% of revenue.
[04:05:37.920 --> 04:05:46.160]   So, you know, in a competitive market, would a company whose cost is 6% be able to charge 30%?
[04:05:46.160 --> 04:05:49.120]   Like, absolutely not.
[04:05:49.120 --> 04:05:50.640]   And Apple's costs are similar.
[04:05:50.640 --> 04:05:56.860]   Apple runs an even more efficient and lean operation than Google, so their costs are also likely in the range of 6%.
[04:05:56.860 --> 04:05:57.460]   All-in.
[04:05:57.460 --> 04:06:00.860]   They market up from 6% to 30%.
[04:06:00.860 --> 04:06:02.800]   Like, only a monopoly can do that.
[04:06:02.800 --> 04:06:05.040]   Look at competitive businesses.
[04:06:05.040 --> 04:06:06.940]   They have a margin of a few percentage.
[04:06:06.940 --> 04:06:15.960]   The numbers there are strikingly supportive of just outright anti-competitive market distortions.
[04:06:16.460 --> 04:06:16.620]   Okay.
[04:06:16.620 --> 04:06:18.960]   What do you think is the future of the gaming industry?
[04:06:18.960 --> 04:06:23.520]   So, we've said, to me, a bunch of exciting stuff about indie developers.
[04:06:23.520 --> 04:06:32.220]   So, you know, do what are called AAA video game companies, so these big gaming companies, do they have a future?
[04:06:32.220 --> 04:06:33.300]   What is their role?
[04:06:33.940 --> 04:06:41.540]   How do you see, like, in the next 5, 10, 20 years, the evolution of these big companies and indie developers?
[04:06:41.540 --> 04:06:48.020]   Yeah, there's one constant in gaming that I think the industry manages to lose sight of from time to time, astonishingly.
[04:06:48.220 --> 04:06:49.180]   And that's fun.
[04:06:49.180 --> 04:06:51.060]   And people play games for fun.
[04:06:51.060 --> 04:06:53.100]   Our whole job is to deliver fun.
[04:06:53.100 --> 04:06:59.800]   And when you look at a lot of the games that failed recently, they just didn't deliver fun.
[04:06:59.800 --> 04:07:06.420]   Or they didn't deliver fun in a manner that was nearly competitive with the other sources of fun that exist in people's lives.
[04:07:07.220 --> 04:07:14.660]   And so, you know, at a basic level, we don't need a terribly complicated theory to explain a lot of the malaise in the game industry.
[04:07:14.660 --> 04:07:21.000]   There's been a degradation of the capabilities of a lot of publishers, partly because of competition for talent.
[04:07:21.000 --> 04:07:29.100]   You know, companies like really vibrant game businesses like Epic or Riot or others are hiring the best developers and accumulating them.
[04:07:29.100 --> 04:07:32.320]   And big tech companies are hiring the best game developers because there's super talent there.
[04:07:32.440 --> 04:07:37.020]   And so, in some cases, companies aren't competing robustly or getting worse.
[04:07:37.020 --> 04:07:38.520]   They're making games that are less fun.
[04:07:38.520 --> 04:07:43.740]   And, you know, I think everything else that's happened is kind of a sideshow to that.
[04:07:43.740 --> 04:07:46.500]   You know, there's always political drama and so on.
[04:07:46.500 --> 04:07:49.060]   But I think that just the core is a failure to deliver fun.
[04:07:49.060 --> 04:07:51.860]   And, you know, the nature of fun is changing.
[04:07:51.860 --> 04:08:01.820]   It turns out that playing a game together with your friends in a really socially and engaging way with voice chat is just way more fun than playing a solitary game for the most part.
[04:08:01.820 --> 04:08:03.660]   And there are exceptions to that.
[04:08:03.660 --> 04:08:09.100]   But I think we're seeing much, much more playtime shifting towards games you're playing together with your friends.
[04:08:09.100 --> 04:08:14.680]   And not just random internet strangers who happen to play that game, too, but people actually know in the real world.
[04:08:14.680 --> 04:08:20.740]   And that's certainly been the case with me and with almost everybody I know who's playing Fortnite or similar games.
[04:08:21.060 --> 04:08:24.920]   And that has really significant effects in reshaping the whole game business.
[04:08:25.560 --> 04:08:33.200]   Because, like, a single-player game, if you have 20 people with 20 different opinions of which game to play, each one might buy a different single-player game.
[04:08:33.200 --> 04:08:44.920]   But in a multiplayer game, if there are 20 games out and each one might have their own completely individual preference and each one are independently choosing which game to play, each one might buy a different game.
[04:08:45.200 --> 04:08:48.100]   But they're all realizing that they want to play together.
[04:08:48.100 --> 04:09:01.200]   And so what players are doing increasingly is playing a game they like and accept together with their friends, even if it's not the game that every one of them might be preferring to play themselves.
[04:09:01.760 --> 04:09:08.240]   And, you know, that's certainly the case in, you know, different Fortnite groups I play with from time to time.
[04:09:08.240 --> 04:09:14.900]   It's like, you know, one player might have been preferring to play COD, one might have been preferring League of Legends, somebody else, something completely random.
[04:09:14.900 --> 04:09:17.100]   But it's just so fun to play together that we're doing that.
[04:09:17.100 --> 04:09:27.260]   And that means that there's really strong Metcalfe's Law effect in which games which are able to attract a large percentage of your friends are more able to attract you.
[04:09:27.260 --> 04:09:29.980]   And not only attract, but also retain.
[04:09:30.800 --> 04:09:41.940]   And so, you know, I think Matthew Ball's analysis of this over the years has really documented the trend towards, you know, you can call it the metaverse or you can call it large-scale multiplayer social gaming.
[04:09:41.940 --> 04:09:43.640]   He's really documented this trend.
[04:09:43.640 --> 04:09:51.660]   And, you know, over the past year or so, it's taken a really, really strong turn towards increasing rate of change, increasing numbers of players coming to Fortnite.
[04:09:51.660 --> 04:09:57.840]   You know, we hit an all-time high of 110 million monthly active users about a year ago.
[04:09:57.840 --> 04:09:58.720]   That's crazy.
[04:09:58.720 --> 04:10:01.060]   And another, like, close to peak this time.
[04:10:01.060 --> 04:10:02.920]   Roblox is bigger than ever.
[04:10:02.920 --> 04:10:07.800]   And, you know, this trend is players consolidating into multiplayer experiences that they play together.
[04:10:08.340 --> 04:10:16.740]   And we're seeing another trend overlaid with that, which is, like, when an awesome single-player game comes out or a small and multiplayer game comes out, people often will, like, treat it as a vacation.
[04:10:16.740 --> 04:10:18.620]   They'll go off and play that game for a while, then come back.
[04:10:18.620 --> 04:10:21.560]   And I think Wukong was an awesome example of that.
[04:10:21.560 --> 04:10:23.580]   A wonderful game from a brilliant team.
[04:10:23.580 --> 04:10:29.580]   In China, they made a game that's, like, no Western players had really seen that type of thing done before.
[04:10:29.680 --> 04:10:34.400]   And it was awesome and it did well, but most players played it for a while and moved back on.
[04:10:34.400 --> 04:10:45.020]   And that can be lucrative, but a business that's building that kind of game is just going to have to build a new one every few years and build a business around that while the other games continue to accrete users.
