
[00:00:00.000 --> 00:00:05.240]   I write the script in December, January, Josh Arnett, Marlee Shelton, come down, fly Frank in,
[03:03:24.020 --> 03:03:29.220]   well, you know, I'm kind of an artist sometimes I make a lot of shitty stuff. Well, that's going to,
[03:03:29.220 --> 03:03:34.420]   that's going to be your lot in life. You know, I I'm pretty good shape for a director. It's not
[03:03:34.420 --> 03:03:39.700]   because I'm operating the camera because I work out. Right. But I always hated working out. I was not
[03:03:39.700 --> 03:03:46.660]   into sports. I was a filmmaker. I was a cartoonist in high school. I was really tall. They would say,
[03:03:46.660 --> 03:03:50.260]   come work, come be in our team. We need, it's a small school. We need you. And I'm like,
[03:03:50.260 --> 03:03:54.100]   I don't know how to play any of these things. I'm an artist. There's a line in the faculty. That's
[03:03:54.100 --> 03:03:57.540]   was my line to my coaches. When they would say, you got to come run with everybody. I would say,
[03:03:57.540 --> 03:04:02.580]   I don't think a person should run unless he's being chased. I get that to the Elijah Wood character,
[03:04:02.580 --> 03:04:05.940]   because that's the guy I identified with. He's there with this camera and that was me.
[03:04:05.940 --> 03:04:11.300]   So I hated it. And then because I had, I was a cartoonist, you know, drawing like this for hours,
[03:04:11.300 --> 03:04:15.780]   four hours, my back would go out like out for a month. It would just go out from being so
[03:04:15.780 --> 03:04:18.980]   so tall and crunched over. And then when I started making movies, operating the camera,
[03:04:18.980 --> 03:04:23.700]   doing steady cam, every year would go out to where I would need cortisone shots to get
[03:04:23.700 --> 03:04:30.980]   up again if I'm filming or just be out for a month. And on Spy Kids 2, Ricardo Montalban had bad back
[03:04:30.980 --> 03:04:36.820]   surgery that went wrong and he was in a wheelchair. So he's in a wheelchair and I'm in a walker. And he's
[03:04:36.820 --> 03:04:43.700]   like, I'm 84. What's your excuse? And I was like, I don't know. I just was operating steady. He goes,
[03:04:43.700 --> 03:04:47.700]   you have to work out, Robert. You have to work out. And I was like, yeah, okay. Yeah, I know. I know.
[03:04:47.700 --> 03:04:52.100]   And so then I thought, okay, next year I'm working with Stallone. I'll ask Stallone, that's Stallone.
[03:04:52.100 --> 03:04:56.740]   How do you get in shape? Because I need to get in shape. My back's always going out. He goes,
[03:04:56.740 --> 03:05:02.180]   get the trainer. Anyone who ever saw in Hollywood got in shape, they had a trainer. I say, even you,
[03:05:02.180 --> 03:05:06.100]   anybody, oh, I need a trainer. He has a trainer. I said, oh, no, I need a trainer. I can't train.
[03:05:06.100 --> 03:05:11.380]   It's like, well, shit, if you can't even train on your own, then what do us mortal men have? So I got
[03:05:11.380 --> 03:05:16.500]   a trainer and guess what happened? Hated it. I would feel sick when he's coming over because I hate working
[03:05:16.500 --> 03:05:23.060]   it. And then some years of doing that, I just, I can't stand it. But I know it's good for my health.
[03:05:23.060 --> 03:05:27.540]   So the desire's there. So if you can't accomplish something in your life, it's not a lack of desire.
[03:05:27.540 --> 03:05:32.260]   Like if you want to be more creative, it's not a lack of desire. It's a lack of identity. Like
[03:05:32.260 --> 03:05:36.500]   you're like the fact that you went, you were comfortable about saying creative. It's because
[03:05:36.500 --> 03:05:41.940]   there's a lack of identity there. You have lots of desire. You got to get the identity up and then
[03:05:41.940 --> 03:05:46.660]   suddenly you're, you're making, you're making shit. So I, a friend of mine from Mexico, she comes over,
[03:05:46.660 --> 03:05:50.340]   I have to stop smoking. My doctor said I have to stop smoking for my health. So I have to,
[03:05:50.340 --> 03:05:54.100]   so I'm not smoking right now. So I've been smoking since I was eight years old.
[03:05:54.100 --> 03:05:58.740]   He said, well, you're going to go back to smoking. Cause you just told me your identity is a smoker.
[03:05:58.740 --> 03:06:05.060]   So right now you're a smoker. Who's not smoking. What's going to happen? Eventually you have to say,
[03:06:05.060 --> 03:06:09.540]   I'm a non-smoker. You know, like just that, that lesson I had forgotten. You have to say,
[03:06:09.540 --> 03:06:13.460]   I'm a non-smoker. I'm a non-smoker. It's what does a non-smoker do? If you believe you're a non-smoker,
[03:06:13.460 --> 03:06:18.420]   you hate smoke, start choking at the smell of smoke. Okay. I'll try that. She walks off.
[03:06:18.420 --> 03:06:22.500]   I go, shit. I forgot about my own. I wonder where in my life I could apply that.
[03:06:22.500 --> 03:06:28.900]   Working out. Of course, my God, I hate working out. No wonder I am so miserable. I'll tell my
[03:06:28.900 --> 03:06:33.940]   trainer and anyone who will listen, I can't stand working out. I don't understand sports. So that day
[03:06:33.940 --> 03:06:41.060]   I said, I'm an athlete. I'm an athlete. That's the last thing I would ever call myself all through
[03:06:41.060 --> 03:06:48.180]   my entire life. This was 2012. I'm an athlete. By the next day, not only did my life completely change
[03:06:48.180 --> 03:06:54.900]   and it's easier if it's opposite day. Like if you're just doing it by degrees, that's bullshit.
[03:06:54.900 --> 03:06:59.460]   You got to go complete opposite. Cause if there's like a donut, you know, if you say, well, I'm going to
[03:06:59.460 --> 03:07:06.020]   only half of it, you got to go, no, I'm going to get an apple. Opposite is much easier. Not only did
[03:07:06.020 --> 03:07:10.340]   I change my life working out, I didn't ever needed a trainer. I have not had a trainer since all those
[03:07:10.340 --> 03:07:15.860]   years. Cause I'm an athlete. I'll just do it. What does an athlete do? An athlete loves working out.
[03:07:15.860 --> 03:07:22.180]   An athlete will make time to work out and they'll eat right. I was, I would never be the person that
[03:07:22.180 --> 03:07:26.820]   would call themselves an athlete, but that's how much it can change your life by changing your identity.
[03:07:26.820 --> 03:07:32.100]   So if you want to be more creative, you've, you've already got that in your, that desire.
[03:07:32.100 --> 03:07:36.340]   You've got enough of that. You don't need more desire. You need more identity. So you got to say,
[03:07:36.340 --> 03:07:42.100]   I'm a creative person with a straight face. So when I say, Hey, are you going to be a,
[03:07:42.100 --> 03:07:46.180]   are you a creative person? You go, yeah. Cause then if you say that, what do you do? You're going to do
[03:07:46.180 --> 03:07:49.780]   more creative stuff. Cause that's what a creative person does. It doesn't make sense to me how
[03:07:49.780 --> 03:07:55.540]   manifesting works, but it does seem to work like basically visualizing, visualizing a path towards
[03:07:55.540 --> 03:08:01.300]   a certain kind of future. I guess everything around you, everything within you kind of makes way for
[03:08:01.300 --> 03:08:06.500]   that makes way for the possibility of that. It's weird. It's weird, but it kind of, it's a kind of a
[03:08:06.500 --> 03:08:10.020]   nice to know that you can do that, but you have to just have that conviction and just say,
[03:08:11.300 --> 03:08:17.300]   start with a label. Yeah. The double R or the label you just gave yourself. Like I changed my
[03:08:17.300 --> 03:08:22.580]   label. My label was, I hate working out. I'm an athlete. I'm an athlete. I'm not a non-athlete
[03:08:22.580 --> 03:08:26.980]   anymore. I'm changing my label and you get so inspired because now you know what to do because
[03:08:26.980 --> 03:08:30.980]   you can't help but conform to your identity. You're always going to conform to your identity. So just
[03:08:30.980 --> 03:08:35.620]   change your identity and you'll change your life. But, and it's not that hard. I didn't have to go get
[03:08:35.620 --> 03:08:40.580]   hypnotized or anything. It was literally, I just told myself, if I could do that, go from a guy who doesn't
[03:08:40.580 --> 03:08:45.940]   want to work out. Hates it. Hates it. I had the desire. I was already hiring the guy.
[03:08:45.940 --> 03:08:49.220]   I lacked the identity. As soon as I changed my identity, boom.
[03:08:49.220 --> 03:08:53.060]   Well, one of the things for me like that is probably music, just playing guitar.
[03:08:53.060 --> 03:08:56.500]   Are you a musician? Yeah, I'm a musician.
[03:08:56.500 --> 03:09:01.460]   I would definitely not. I mean, I'm, I'm going along with it now, but if we're honestly,
[03:09:01.460 --> 03:09:03.300]   if we're just- You wouldn't have said that. I wouldn't have said that.
[03:09:03.300 --> 03:09:05.540]   But I heard you rip on fucking guitar.
[03:09:05.540 --> 03:09:08.980]   And I've heard you play kind of amazing in all different kinds of contexts.
[03:09:08.980 --> 03:09:10.380]   Oh, but I, I should be like,
[03:09:10.380 --> 03:09:13.580]   freaking Santana by now because I've had a guitar in my hand since I was a kid. But
[03:09:13.580 --> 03:09:15.740]   since I'm not a full-time musician,
[03:09:15.740 --> 03:09:22.700]   I don't get to play it that often. So I'm not as good as I should be. But, you know,
[03:09:22.700 --> 03:09:26.380]   when you apply yourself to just rehearse for, you know, a couple of shows, you book some shows.
[03:09:26.940 --> 03:09:32.300]   Look at this. This is me just like playing our first arena show opening for George Lopez.
[03:09:32.300 --> 03:09:37.580]   That was crazy to be on the stages where you're heroes that you saw them. Now you're seeing what
[03:09:37.580 --> 03:09:41.580]   their point of view was. It blows your mind. You need to just get on stage. You get on stage once and
[03:09:41.580 --> 03:09:43.740]   you'll see that it's not as bad as you think.
[03:09:43.740 --> 03:09:47.580]   You're not, you're not like terrified because you're playing pretty complicated things. I've
[03:09:47.580 --> 03:09:48.460]   seen you play live.
[03:09:48.460 --> 03:09:52.220]   Yeah. And I messed up a bunch of times, but you don't want to focus on that. And you just go like,
[03:09:52.220 --> 03:09:56.140]   okay, I got it through it. Cause when you're up there, it's not that you're like screaming nervous,
[03:09:56.140 --> 03:09:59.980]   but your hands will just won't work anymore. Something will happen, but that happens to everybody.
[03:09:59.980 --> 03:10:04.860]   If you really watch even the best in their live performances, watch really close and you see,
